stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.11920539671854202
characterization,derivation,0.10621469446267115
characterization,material,0.30446572438448566
characterization,mediation,0.12752112443829416
characterization,memberOf,0.1353364863319
characterization,subCollectionOf,0.03933075002058044
characterization,none,0.24947117157941182
characterization,other,0.12001236137840207
componentOf,derivation,0.2518401012015032
componentOf,material,0.2458662787450264
componentOf,mediation,0.13408496275753662
componentOf,memberOf,0.08947533119694667
componentOf,subCollectionOf,0.05456456681149997
componentOf,none,0.079654686507267
componentOf,other,0.2722116092336244
derivation,material,0.7531503956485948
derivation,mediation,0.3431106743162333
derivation,memberOf,0.04891462661164421
derivation,subCollectionOf,0.24034582130545232
derivation,none,0.03282521269208922
derivation,other,0.12224749466810632
material,mediation,0.39458851834320713
material,memberOf,0.03472019867861767
material,subCollectionOf,0.2679947120104073
material,none,0.08754393659143091
material,other,0.2493609362775843
mediation,memberOf,0.08970235119841011
mediation,subCollectionOf,0.09423239138719455
mediation,none,0.04869588166535036
mediation,other,0.07111042461055356
memberOf,subCollectionOf,0.02132840675777573
memberOf,none,0.07395103984676692
memberOf,other,0.19502868827116573
subCollectionOf,none,0.058794676924072246
subCollectionOf,other,0.1139740324159795
none,other,0.06402538512698369
