Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1436,1,1436,24.72451790633609
subkind,1016,2,2452,42.21763085399449
relator,905,3,3357,57.7995867768595
kind,674,4,4031,69.4042699724518
roleMixin,311,5,4342,74.75895316804407
category,285,6,4627,79.6659779614325
mode,278,7,4905,84.45247933884298
none,228,8,5133,88.37809917355372
type,136,9,5269,90.71969696969697
phase,135,10,5404,93.04407713498622
event,128,11,5532,95.24793388429752
mixin,67,12,5599,96.40151515151516
collective,65,13,5664,97.52066115702479
other,58,14,5722,98.51928374655647
quantity,33,15,5755,99.0874655647383
enumeration,23,16,5778,99.48347107438018
situation,11,17,5789,99.6728650137741
datatype,10,18,5799,99.84504132231406
quality,9,19,5808,100.0
historicalRole,0,20,5808,100.0
abstract,0,21,5808,100.0
phaseMixin,0,22,5808,100.0
historicalRoleMixin,0,23,5808,100.0
