Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.5886203423967774,4,0.40273972602739727
20.0,8,0.8388721047331319,8,0.6876712328767123
30.0,12,0.9425981873111783,12,0.8684931506849315
40.0,16,0.9859013091641491,16,0.9643835616438357
50.0,20,0.9979859013091642,20,0.9917808219178083
60.0,24,1.0,24,1.0
70.0,28,1.0,28,1.0
80.0,32,1.0,32,1.0
90.0,36,1.0,36,1.0
100.0,40,1.0,40,1.0
