Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf,subCollectionOf
category,1.0,0.17118419700436519,0.15724272550828775,-0.2182178902359924,0.21381344338776134,0.21735757586639412,0.06988565578146122,0.2445997952351143,0.01760780488287548,0.018827751470952857,0.10669059166873285,-0.13696356726888637,0.1731836130445092,0.13725270326150327,0.06988565578146122,0.005301404289424247,-0.2445997952351143
collective,0.17118419700436519,1.0,-0.10206207261596575,-0.13074409009212268,0.1074430618700507,0.0825840139015334,-0.10206207261596574,0.06804138174397717,-0.06857254813237416,-0.07332355751067664,-0.04888237167378443,0.22566773346211,-0.06131393394849658,0.0222717701593687,-0.10206207261596574,0.5987341007861171,0.2721655269759087
datatype,0.15724272550828775,-0.10206207261596575,1.0,0.08006407690254357,-0.0657951694959769,0.3287191293257129,-0.041666666666666664,-0.25,-0.16796775328675628,-0.029934217004462485,0.1796053020267749,0.050251890762960605,0.2252817784447915,0.19094065395649334,-0.041666666666666664,-0.17700260809846077,-0.16666666666666666
kind,-0.2182178902359924,-0.13074409009212268,0.08006407690254357,1.0,-0.3476767476825577,0.13766648985981775,-0.05337605126836238,-0.05337605126836238,0.09862000951952102,0.29718527608057627,-0.29718527608057627,0.14484136487558028,0.16834512458535864,0.2445997952351143,-0.05337605126836238,-0.1862546627515181,0.05337605126836238
mode,0.21381344338776134,0.1074430618700507,-0.0657951694959769,-0.3476767476825577,1.0,-0.12976878498333136,-0.5044296328024895,-0.28511240114923325,0.01105146679736056,-0.22452606449532778,0.6972125160644389,-0.019837990021453852,-0.35244498873176183,-0.5599496399301325,-0.5044296328024895,0.26951978419614975,-0.15352206215727943
phase,0.21735757586639412,0.0825840139015334,0.3287191293257129,0.13766648985981775,-0.12976878498333136,1.0,0.11800173873230717,0.11800173873230717,-0.18971037498562313,0.22102040978616352,0.14230081178013268,0.23888665095164566,0.10886634163154735,0.011035753058718368,0.11800173873230717,0.1815856777493606,-0.2865756512070317
relator,0.06988565578146122,-0.10206207261596574,-0.041666666666666664,-0.05337605126836238,-0.5044296328024895,0.11800173873230717,1.0,0.4444444444444444,0.20529392068381325,0.2195175913660582,-0.2195175913660582,-0.2010075630518424,0.3504383220252312,0.5091750772173156,1.0,-0.21914608621714188,0.1111111111111111
role,0.2445997952351143,0.06804138174397717,-0.25,-0.05337605126836238,-0.28511240114923325,0.11800173873230717,0.4444444444444444,1.0,0.20529392068381325,0.2195175913660582,-0.41907903806247476,-0.2010075630518424,0.18356293058464493,0.32732683535398854,0.4444444444444444,-0.21914608621714188,0.1111111111111111
roleMixin,0.01760780488287548,-0.06857254813237416,-0.16796775328675628,0.09862000951952102,0.01105146679736056,-0.18971037498562313,0.20529392068381325,0.20529392068381325,1.0,-0.07039176447292891,-0.06368778690407853,-0.10691549773830258,-0.19901076051177527,-0.20770355624952191,0.20529392068381325,-0.18971037498562313,-0.018663083698528475
subkind,0.018827751470952857,-0.07332355751067664,-0.029934217004462485,0.29718527608057627,-0.22452606449532778,0.22102040978616352,0.2195175913660582,0.2195175913660582,-0.07039176447292891,1.0,-0.13978494623655913,0.24669716448921308,-0.032968875588575065,0.16983672369508443,0.2195175913660582,-0.14230081178013268,-0.019956144669641657
characterization,0.10669059166873285,-0.04888237167378443,0.1796053020267749,-0.29718527608057627,0.6972125160644389,0.14230081178013268,-0.2195175913660582,-0.41907903806247476,-0.06368778690407853,-0.13978494623655913,1.0,0.1143230762267085,-0.20680476505560721,-0.4311239909182913,-0.2195175913660582,0.2634078856355648,-0.1796053020267749
componentOf,-0.13696356726888637,0.22566773346211,0.050251890762960605,0.14484136487558028,-0.019837990021453852,0.23888665095164566,-0.2010075630518424,-0.2010075630518424,-0.10691549773830258,0.24669716448921308,0.1143230762267085,1.0,-0.2465426358859398,-0.17545378532260505,-0.2010075630518424,0.1372327569296688,0.0335012605086404
derivation,0.1731836130445092,-0.06131393394849658,0.2252817784447915,0.16834512458535864,-0.35244498873176183,0.10886634163154735,0.3504383220252312,0.18356293058464493,-0.19901076051177527,-0.032968875588575065,-0.20680476505560721,-0.2465426358859398,1.0,0.6882472016116853,0.3504383220252312,-0.19494670478207318,0.15018785229652765
material,0.13725270326150327,0.0222717701593687,0.19094065395649334,0.2445997952351143,-0.5599496399301325,0.011035753058718368,0.5091750772173156,0.32732683535398854,-0.20770355624952191,0.16983672369508443,-0.4311239909182913,-0.17545378532260505,0.6882472016116853,1.0,0.5091750772173156,-0.209679308115649,0.21821789023599236
mediation,0.06988565578146122,-0.10206207261596574,-0.041666666666666664,-0.05337605126836238,-0.5044296328024895,0.11800173873230717,1.0,0.4444444444444444,0.20529392068381325,0.2195175913660582,-0.2195175913660582,-0.2010075630518424,0.3504383220252312,0.5091750772173156,1.0,-0.21914608621714188,0.1111111111111111
memberOf,0.005301404289424247,0.5987341007861171,-0.17700260809846077,-0.1862546627515181,0.26951978419614975,0.1815856777493606,-0.21914608621714188,-0.21914608621714188,-0.18971037498562313,-0.14230081178013268,0.2634078856355648,0.1372327569296688,-0.19494670478207318,-0.209679308115649,-0.21914608621714188,1.0,-0.11800173873230717
subCollectionOf,-0.2445997952351143,0.2721655269759087,-0.16666666666666666,0.05337605126836238,-0.15352206215727943,-0.2865756512070317,0.1111111111111111,0.1111111111111111,-0.018663083698528475,-0.019956144669641657,-0.1796053020267749,0.0335012605086404,0.15018785229652765,0.21821789023599236,0.1111111111111111,-0.11800173873230717,1.0
