year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
2016,0.00000,0.00567,0.00189,0.00189,0.00000,0.00000,0.00189,0.00000,0.00000,0.00000,0.00189,0.00567,0.00378,0.00189,0.00000,0.00000,0.00000,0.00000,0.00000,0.00378,0.00567
2017,0.00000,0.00189,0.00000,0.00378,0.00000,0.00189,0.00000,0.00000,0.00000,0.00000,0.00945,0.00189,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00378,0.01512
2018,0.00189,0.00756,0.00000,0.00567,0.00000,0.00189,0.00189,0.00189,0.00189,0.00189,0.00567,0.01134,0.00378,0.00189,0.00000,0.00000,0.00000,0.00000,0.00189,0.00378,0.01701
2019,0.00000,0.00756,0.00000,0.00378,0.00000,0.00567,0.00000,0.00189,0.00189,0.00189,0.00567,0.01134,0.00567,0.00189,0.00000,0.00000,0.00000,0.00000,0.00000,0.00945,0.01323
2020,0.00000,0.01134,0.00000,0.00756,0.00378,0.00945,0.00378,0.00000,0.00378,0.00189,0.00756,0.01323,0.00000,0.00567,0.00000,0.00000,0.00000,0.00000,0.00378,0.01134,0.02836
2021,0.00756,0.02647,0.00189,0.01512,0.00567,0.00945,0.01134,0.00567,0.00756,0.00756,0.01701,0.02268,0.00756,0.01323,0.00189,0.00000,0.00189,0.00000,0.00378,0.00756,0.03025
2022,0.00378,0.02268,0.00000,0.00945,0.01134,0.01134,0.01323,0.01512,0.01134,0.00378,0.01512,0.02457,0.00756,0.01323,0.00378,0.00378,0.00189,0.00189,0.00378,0.00378,0.02836
2023,0.00567,0.02079,0.00378,0.01323,0.00945,0.01512,0.00567,0.00000,0.00378,0.00189,0.01323,0.02457,0.01323,0.00945,0.00000,0.00000,0.00000,0.00378,0.00378,0.00189,0.02647
2024,0.00378,0.01134,0.00378,0.00567,0.00378,0.00378,0.00189,0.00567,0.00189,0.00378,0.00756,0.00945,0.00189,0.00756,0.00189,0.00000,0.00000,0.00000,0.00189,0.00189,0.00945
