model,year,total_class_number,total_relation_number
aguiar2019ooco,2019,56,31
aires2022valuenetworks-geo,2022,22,53
alpinebits2022,2022,78,37
amaral2019rot,2022,48,45
amaral2020game-theory,2021,22,20
amaral2020rome,2020,48,58
amaral2022ethical-requirements,2022,24,17
andrade2023integracao,2023,44,28
barcelos2024resiliont,2024,56,80
barros2020programming,2020,12,0
bernasconi2021ontovcm,2022,76,67
bernasconi2023fair-principles,2023,46,29
buchtela2020connection,2020,19,13
buridan-ontology2021,2021,54,53
cgts2021sebim,2021,29,11
core-o2023,2023,30,47
dcat-mlt-ufo2023,2022,30,31
demori2023miscon,2023,31,27
duarte2020jogabilidade,2020,19,21
elghosh2020cargos,2020,10,15
elghosh2024eucaim,2024,38,30
elikan2018brand-identity,2019,30,31
eu-rent-refactored2022,2022,66,50
falduci2022non-consensual-pornography,2022,27,38
fernandez-cejas2022curie-o,2022,29,21
fischer2018ontorea,2019,18,23
fonseca2022incorporating,2022,51,21
formula-one2023,2023,26,13
fraller2019abc,2019,39,46
fumagalli2022criminal-investigation,2022,10,9
garcia2022human-genome-events,2022,15,8
gomes2022digital-technology,2022,19,18
guizzardi2020decision-making,2020,54,61
guizzardi2022ufo,2021,62,40
haridy2021egyptian-e-government,2021,32,16
heirbrant2023boekbazaar,2023,42,59
jacobs2022sdpontology,2022,34,22
khantong2020ontology,2020,30,22
lindeberg2022simple-ontorights,2023,61,68
machacova2023gym,2023,41,21
maddalena2021ontocovid,2021,74,72
moreira2018saref4health,2020,19,10
nascimento2023spacecon,2023,18,15
neves2020nwpontology,2020,35,22
neves2021grain-production,2021,18,16
niederkofler2019dssapple,2019,68,43
oliveira2022rose,2022,63,86
pereira2020ontotrans,2020,35,67
piest2024dsr-kb,2024,84,66
pinheiro2024api,2024,28,34
plato-ontology2019,2021,73,70
porello2020coex,2021,17,37
ppo-o2021,2021,59,42
public-expense-ontology2020,2020,42,26
ramos2021bias,2021,49,30
repa2021public-administration,2021,25,9
rocha2023ciencia-aberta,2023,24,22
rodrigues2019ontocrime,2020,106,57
rodrigues2019turbidite,2019,69,99
romanenko2023what,2023,55,31
santos2020valuenetworks,2020,15,6
sariev2024maritime,2024,83,62
sikora2021online-education,2021,65,58
silva2021sebim,2023,42,22
silveira2021oap,2021,32,25
tesolin2023hint,2023,38,53
valaski2020medical-appointment,2020,7,7
van-ee2021modular,2021,100,66
van-wingerde2020smart-contracts,2020,39,42
vieira2020weathering,2020,39,60
weigand2021artifact,2021,52,46
xhani2023xmlpo,2024,119,92
zanetti2019orm-o,2019,34,22
