Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.23925557918818832,0.07722548275860579,0.1058138603482147,0.02759708730351298,0.1432241295647202,0.34730482982672173,0.22146297901432005,0.2885365877382532,0.1726011302148022,0.23765726526410835,0.10088140804902689,0.5089765340270247
characterization,0.23925557918818832,1.0,0.26638838530773584,0.020235902183138397,0.05911279166490187,0.3384570248010292,0.1639344385476764,0.25158851058193993,0.29745822398095373,0.19641568931441797,0.16646144046325664,0.03260992481873853,0.20036455947228518
componentOf,0.07722548275860579,0.26638838530773584,1.0,0.04821864588424485,0.13244605439686333,0.04176621127322988,0.12707061143827797,0.26265133730911366,0.2639126230641688,0.22122671037635705,0.1933609615720551,0.27544879320050747,0.00625968401293258
creation,0.1058138603482147,0.020235902183138397,0.04821864588424485,1.0,0.038055380710761796,0.1882760308640026,0.31229880790162484,0.3666154224864604,0.3853940084829119,0.04252599260004516,0.06765762488595109,0.1959768803178485,0.650025132811158
derivation,0.02759708730351298,0.05911279166490187,0.13244605439686333,0.038055380710761796,1.0,0.1213312644011185,0.16674790240112172,0.19937195477034358,0.21854317876352045,0.3983315099020742,0.3277657069864312,0.1678347417893591,0.0851228542530031
externalDependence,0.1432241295647202,0.3384570248010292,0.04176621127322988,0.1882760308640026,0.1213312644011185,1.0,0.3043141751099163,0.5033460296912488,0.38784055734144673,0.2899323615723586,0.024047670119255692,0.12123353639101704,0.23550210239692349
historicalDependence,0.34730482982672173,0.1639344385476764,0.12707061143827797,0.31229880790162484,0.16674790240112172,0.3043141751099163,1.0,0.512904798701356,0.5043496603300927,0.006333553447567901,0.023798048882707312,0.12581752399745255,0.5082285791050772
instantiation,0.22146297901432005,0.25158851058193993,0.26265133730911366,0.3666154224864604,0.19937195477034358,0.5033460296912488,0.512904798701356,1.0,0.7666752562293353,0.17852350996799682,0.060245922110852966,0.024646667141927384,0.45842139226939776
manifestation,0.2885365877382532,0.29745822398095373,0.2639126230641688,0.3853940084829119,0.21854317876352045,0.38784055734144673,0.5043496603300927,0.7666752562293353,1.0,0.11583205558868263,0.02390448815340245,0.06702201927862404,0.5151725091835129
material,0.1726011302148022,0.19641568931441797,0.22122671037635705,0.04252599260004516,0.3983315099020742,0.2899323615723586,0.006333553447567901,0.17852350996799682,0.11583205558868263,1.0,0.358453116983724,0.22096788040671503,0.05691722242935305
mediation,0.23765726526410835,0.16646144046325664,0.1933609615720551,0.06765762488595109,0.3277657069864312,0.024047670119255692,0.023798048882707312,0.060245922110852966,0.02390448815340245,0.358453116983724,1.0,0.35478295410008626,0.07626486602162112
memberOf,0.10088140804902689,0.03260992481873853,0.27544879320050747,0.1959768803178485,0.1678347417893591,0.12123353639101704,0.12581752399745255,0.024646667141927384,0.06702201927862404,0.22096788040671503,0.35478295410008626,1.0,0.13407668334213813
participation,0.5089765340270247,0.20036455947228518,0.00625968401293258,0.650025132811158,0.0851228542530031,0.23550210239692349,0.5082285791050772,0.45842139226939776,0.5151725091835129,0.05691722242935305,0.07626486602162112,0.13407668334213813,1.0
