Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.2554233729881036,1,0.1605351170568562
20.0,3,0.5948215535339398,3,0.4080267558528428
30.0,5,0.7473757872638208,5,0.5585284280936454
40.0,7,0.834149755073478,7,0.6923076923076923
50.0,9,0.8957312806158153,9,0.7859531772575251
60.0,11,0.9412176347095871,11,0.8762541806020067
70.0,13,0.9783065080475857,13,0.9464882943143813
80.0,15,0.9965010496850945,15,0.9866220735785953
90.0,17,1.0,17,1.0
100.0,19,1.0,19,1.0
