Construct Pair,Jaccard Similarity,Mutual Information
bringsAbout - characterization,0.1896551724137931,0.3177613267756055
bringsAbout - comparative,0.2142857142857142,0.1122117044739748
bringsAbout - componentOf,0.1282051282051282,0.1561468305914383
bringsAbout - creation,0.1538461538461538,0.0763547521011409
bringsAbout - derivation,0.1052631578947368,0.0647052467280376
bringsAbout - externalDependence,0.1851851851851851,0.1350375335948889
bringsAbout - historicalDependence,0.2727272727272727,0.1618010864502527
bringsAbout - instantiation,0.2083333333333333,0.1352722778443381
bringsAbout - manifestation,0.2631578947368421,0.1301254625527079
bringsAbout - material,0.1627906976744186,0.2252160939534066
bringsAbout - mediation,0.088235294117647,0.2325273221766118
bringsAbout - memberOf,0.064516129032258,0.0558637074645797
bringsAbout - participation,0.3793103448275862,0.3334115660902134
bringsAbout - participational,0.0666666666666666,0.0341000804457927
bringsAbout - subCollectionOf,0.0,0.0030743094202774
bringsAbout - subQuantityOf,0.0,0.0030743094202774
bringsAbout - termination,0.1538461538461538,0.0665025266589182
bringsAbout - triggers,0.5714285714285714,0.244867864033866
bringsAbout - other,0.03125,0.0523607156347682
bringsAbout - none,0.1341463414634146,0.3132647454008938
characterization - comparative,0.0508474576271186,0.1510035534578278
characterization - componentOf,0.4354838709677419,0.6997685083827055
characterization - creation,0.2096774193548387,0.3788422051710195
characterization - derivation,0.2985074626865671,0.3899002741907368
characterization - externalDependence,0.3050847457627119,0.5097716048363373
characterization - historicalDependence,0.2166666666666666,0.3820138887519577
characterization - instantiation,0.2542372881355932,0.4369277074388479
characterization - manifestation,0.1896551724137931,0.3217493717793829
characterization - material,0.4393939393939394,0.8133807472610778
characterization - mediation,0.6081081081081081,0.9905663573359196
characterization - memberOf,0.2580645161290322,0.3886823747121161
characterization - participation,0.3709677419354839,0.6742514000234614
characterization - participational,0.0517241379310344,0.102933303623626
characterization - subCollectionOf,0.0350877192982456,0.0626210780767589
characterization - subQuantityOf,0.0350877192982456,0.0833769748689811
characterization - termination,0.0169491525423728,0.0660563608423455
characterization - triggers,0.175438596491228,0.2943019618597302
characterization - other,0.2,0.2711802129203744
characterization - none,0.5681818181818182,1.4549469785969085
comparative - componentOf,0.1212121212121212,0.1924179021255445
comparative - creation,0.15,0.0990551465216166
comparative - derivation,0.09375,0.0952559359331514
comparative - externalDependence,0.0,0.0137498662565391
comparative - historicalDependence,0.1052631578947368,0.0565146295091453
comparative - instantiation,0.0,0.0114521868890743
comparative - manifestation,0.0625,0.0412478834232431
comparative - material,0.131578947368421,0.2533876052413399
comparative - mediation,0.0806451612903225,0.175160211068733
comparative - memberOf,0.1304347826086956,0.0880826300610815
comparative - participation,0.1379310344827586,0.1279381686233589
comparative - participational,0.0,0.0024855819412868
comparative - subCollectionOf,0.0,0.0012285786686522
comparative - subQuantityOf,0.0,0.0012285786686522
comparative - termination,0.3333333333333333,0.1051030323487419
comparative - triggers,0.0714285714285714,0.0374004440651244
comparative - other,0.0,0.014537874667105
comparative - none,0.048780487804878,0.1388752094189836
componentOf - creation,0.1904761904761904,0.2619180955574598
componentOf - derivation,0.2156862745098039,0.3234560310695858
componentOf - externalDependence,0.1555555555555555,0.2392594793709863
componentOf - historicalDependence,0.2,0.2118269657212891
componentOf - instantiation,0.2564102564102564,0.2991702572440164
componentOf - manifestation,0.1891891891891892,0.1885072707531996
componentOf - material,0.4,0.6996590868096055
componentOf - mediation,0.3823529411764705,0.7146023042212345
componentOf - memberOf,0.358974358974359,0.4035817432244966
componentOf - participation,0.2244897959183673,0.3457463287111245
componentOf - participational,0.0285714285714285,0.0466320198911085
componentOf - subCollectionOf,0.0625,0.0926050721858355
componentOf - subQuantityOf,0.0625,0.0775366552171411
componentOf - termination,0.0606060606060606,0.0941017273611184
componentOf - triggers,0.05,0.07830658295537
componentOf - other,0.2045454545454545,0.2258841429462108
componentOf - none,0.3294117647058823,0.9324953618417228
creation - derivation,0.1707317073170731,0.1649141554614762
creation - externalDependence,0.2258064516129032,0.1761468331555178
creation - historicalDependence,0.3076923076923077,0.2017774294287098
creation - instantiation,0.2962962962962963,0.248527081595774
creation - manifestation,0.25,0.1744310196784379
creation - material,0.1666666666666666,0.2770854573369645
creation - mediation,0.2121212121212121,0.458147761906897
creation - memberOf,0.2580645161290322,0.2009799469606474
creation - participation,0.5862068965517241,0.5615513927551696
creation - participational,0.1578947368421052,0.1392752743732903
creation - subCollectionOf,0.1111111111111111,0.0990449592815597
creation - subQuantityOf,0.0526315789473684,0.0622217507120856
creation - termination,0.1666666666666666,0.0949923828774967
creation - triggers,0.0769230769230769,0.0438076925489285
creation - other,0.1142857142857142,0.1155250267560339
creation - none,0.2222222222222222,0.5750820234965665
derivation - externalDependence,0.0869565217391304,0.1021146213275724
derivation - historicalDependence,0.0697674418604651,0.078273210020979
derivation - instantiation,0.0681818181818181,0.0676989322022308
derivation - manifestation,0.024390243902439,0.0438113678168663
derivation - material,0.5111111111111111,0.6201812365155999
