Group,x_value,y_value,quadrant
sortal,96.55172413793105,161.6206896551724,Q1
non_sortal,72.41379310344827,22.86206896551724,Q3
rigid,96.55172413793105,112.58620689655172,Q1
non_rigid,89.65517241379311,67.20689655172414,Q1
abstracts,27.58620689655172,1.137931034482759,Q3
temporal,41.37931034482759,4.793103448275862,Q3
rigid_sortal,96.55172413793105,102.75862068965516,Q1
rigid_non_sortal,68.96551724137932,9.827586206896552,Q3
non_rigid_sortal,79.3103448275862,54.172413793103445,Q1
non_rigid_non_sortal,58.620689655172406,13.03448275862069,Q3
