year,category,period,predicted,a (quad),b (linear),intercept
2015,none (occurrence),2015-2018,1.6518706398783252,-0.09511731202638884,384.2136996180017,-387991.2646372889
2016,none (occurrence),2015-2018,2.4476854795357212,-0.09511731202638884,384.2136996180017,-387991.2646372889
2017,none (occurrence),2015-2018,3.0532656951108947,-0.09511731202638884,384.2136996180017,-387991.2646372889
2018,none (occurrence),2015-2018,3.4686112866620533,-0.09511731202638884,384.2136996180017,-387991.2646372889
2015,none (model-wise),2015-2018,1.1651376149384305,0.22935779826548242,-924.798165542427,932225.202243137
2016,none (model-wise),2015-2018,0.9082568808225915,0.22935779826548242,-924.798165542427,932225.202243137
2017,none (model-wise),2015-2018,1.110091742943041,0.22935779826548242,-924.798165542427,932225.202243137
2018,none (model-wise),2015-2018,1.7706422018818557,0.22935779826548242,-924.798165542427,932225.202243137
2019,none (occurrence),2019-2024,2.2596023152582347,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2020,none (occurrence),2019-2024,3.5081302635371685,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2021,none (occurrence),2019-2024,3.9849624056369066,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2022,none (occurrence),2019-2024,3.690098741557449,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2023,none (occurrence),2019-2024,2.6235392717644572,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2024,none (occurrence),2019-2024,0.785283996257931,-0.3858479029386217,1559.6882079169236,-1576152.8887111703
2019,none (model-wise),2019-2024,1.4220183489378542,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2020,none (model-wise),2019-2024,2.3315858454443514,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2021,none (model-wise),2019-2024,2.710353866685182,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2022,none (model-wise),2019-2024,2.558322411496192,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2023,none (model-wise),2019-2024,1.8754914801102132,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2024,none (model-wise),2019-2024,0.6618610734585673,-0.26539973796775485,1072.8591091485457,-1084235.9780905899
2015,other (occurrence),2015-2018,4.492707673925906,0.967025999431371,-3901.4362742232556,3935055.4467262956
2016,other (occurrence),2015-2018,1.138237158767879,0.967025999431371,-3901.4362742232556,3935055.4467262956
2017,other (occurrence),2015-2018,-0.282181357499212,0.967025999431371,-3901.4362742232556,3935055.4467262956
2018,other (occurrence),2015-2018,0.23145212419331074,0.967025999431371,-3901.4362742232556,3935055.4467262956
2015,other (model-wise),2015-2018,1.0642201835289598,0.1834862386659779,-740.2201840260393,746549.3216450826
2016,other (model-wise),2015-2018,0.47706422000192106,0.1834862386659779,-740.2201840260393,746549.3216450826
2017,other (model-wise),2015-2018,0.25688073388300836,0.1834862386659779,-740.2201840260393,746549.3216450826
2018,other (model-wise),2015-2018,0.40366972505580634,0.1834862386659779,-740.2201840260393,746549.3216450826
2019,other (occurrence),2019-2024,1.0802608936210163,0.10870549870958257,-439.6535013164832,444538.6439935804
2020,other (occurrence),2019-2024,0.48826886515598744,0.10870549870958257,-439.6535013164832,444538.6439935804
2021,other (occurrence),2019-2024,0.11368783400394022,0.10870549870958257,-439.6535013164832,444538.6439935804
2022,other (occurrence),2019-2024,-0.04348219954408705,0.10870549870958257,-439.6535013164832,444538.6439935804
2023,other (occurrence),2019-2024,0.016758764162659645,0.10870549870958257,-439.6535013164832,444538.6439935804
2024,other (occurrence),2019-2024,0.29441072535701096,0.10870549870958257,-439.6535013164832,444538.6439935804
2019,other (model-wise),2019-2024,0.996068152031512,0.013106159910073245,-53.16120582702393,53908.03151572726
2020,other (model-wise),2019-2024,0.7706422018018202,0.013106159910073245,-53.16120582702393,53908.03151572726
2021,other (model-wise),2019-2024,0.5714285713838763,0.013106159910073245,-53.16120582702393,53908.03151572726
2022,other (model-wise),2019-2024,0.39842726078495616,0.013106159910073245,-53.16120582702393,53908.03151572726
2023,other (model-wise),2019-2024,0.2516382700050599,0.013106159910073245,-53.16120582702393,53908.03151572726
2024,other (model-wise),2019-2024,0.13106159904418746,0.013106159910073245,-53.16120582702393,53908.03151572726
