year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,8.592487700379479,-0.7581286422308154,1539.254216364396
2020,none (occurrence),2019-2024,7.834359058148721,-0.7581286422308154,1539.254216364396
2021,none (occurrence),2019-2024,7.076230415917962,-0.7581286422308154,1539.254216364396
2022,none (occurrence),2019-2024,6.318101773687204,-0.7581286422308154,1539.254216364396
2023,none (occurrence),2019-2024,5.559973131456218,-0.7581286422308154,1539.254216364396
2024,none (occurrence),2019-2024,4.801844489225459,-0.7581286422308154,1539.254216364396
2019,none (model-wise),2019-2024,3.3583959899749516,-0.2556390977443608,519.4937343358393
2020,none (model-wise),2019-2024,3.102756892230559,-0.2556390977443608,519.4937343358393
2021,none (model-wise),2019-2024,2.8471177944861665,-0.2556390977443608,519.4937343358393
2022,none (model-wise),2019-2024,2.5914786967418877,-0.2556390977443608,519.4937343358393
2023,none (model-wise),2019-2024,2.335839598997495,-0.2556390977443608,519.4937343358393
2024,none (model-wise),2019-2024,2.0802005012531026,-0.2556390977443608,519.4937343358393
2019,other (occurrence),2019-2024,1.7264854855400245,-0.37797505582484603,764.8581231959041
2020,other (occurrence),2019-2024,1.3485104297151338,-0.37797505582484603,764.8581231959041
2021,other (occurrence),2019-2024,0.9705353738902431,-0.37797505582484603,764.8581231959041
2022,other (occurrence),2019-2024,0.5925603180654662,-0.37797505582484603,764.8581231959041
2023,other (occurrence),2019-2024,0.2145852622405755,-0.37797505582484603,764.8581231959041
2024,other (occurrence),2019-2024,-0.16338979358420147,-0.37797505582484603,764.8581231959041
2019,other (model-wise),2019-2024,1.365914786967437,-0.2481203007518797,502.3208020050126
2020,other (model-wise),2019-2024,1.1177944862155869,-0.2481203007518797,502.3208020050126
2021,other (model-wise),2019-2024,0.8696741854636798,-0.2481203007518797,502.3208020050126
2022,other (model-wise),2019-2024,0.6215538847117728,-0.2481203007518797,502.3208020050126
2023,other (model-wise),2019-2024,0.37343358395992254,-0.2481203007518797,502.3208020050126
2024,other (model-wise),2019-2024,0.1253132832080155,-0.2481203007518797,502.3208020050126
