stereotype,total_correlation,rank
category,2.5919562738462716,15
collective,2.850794851889445,12
datatype,2.6970440258612447,14
kind,3.001931550737761,11
mode,4.702253396963086,2
phase,3.1439048900507363,9
relator,4.588744172100639,3
role,4.013735980199328,6
roleMixin,2.3863285372528176,19
subkind,2.523317344509256,16
characterization,4.04752323516926,5
componentOf,2.7786944879884454,13
derivation,3.9253891615345937,7
material,4.93375573143793,1
mediation,4.588744172100639,3
memberOf,3.606812204178598,8
subCollectionOf,2.487167540204563,17
none_r,2.4297724476659552,18
other_r,3.117519376766568,10
