Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,characterization,componentOf,derivation,material,mediation
category,1.0,0.11601819071372048,0.09403385334378886,0.0973767543918162,0.359387643415108,0.39097278369872407,0.12096039786868125,0.015718637383884834,0.008831532672452621,0.3162708542006183,0.02607069662858437,0.5486907674459186,0.36719483601856945,0.039610696363270734,0.027659484096834993,0.2287536448393519,0.3488476942197912
collective,0.11601819071372048,1.0,0.2875898368102759,0.06432521270161276,0.38925993264469094,0.1153640470660684,0.019607756118155115,0.0800283161892456,0.10226864601884728,0.08730470043016039,0.22626691433532414,0.07942323085739872,0.1012105121892903,0.1762443203600099,0.11269121114998457,0.04179075025657944,0.07454254970338726
event,0.09403385334378886,0.2875898368102759,1.0,0.3980204520594794,0.16650536992736256,0.024141964734487605,0.07433224634515036,0.38946858570415216,0.06778224499252501,0.35438398028511725,0.4809313508596863,0.06641284284924708,0.12668162305644498,0.29101433102070207,0.21545978745115246,0.08919791089418756,0.13264456522775994
kind,0.0973767543918162,0.06432521270161276,0.3980204520594794,1.0,0.039006662975072486,0.06119850251452909,0.351459022554583,0.09873591408137011,0.4350279608757728,0.34335027231913157,0.3052327751196507,0.3215231867976728,0.13776765828593202,0.3570156196674924,0.28551203627515687,0.5076066246861926,0.02792065806545158
mode,0.359387643415108,0.38925993264469094,0.16650536992736256,0.039006662975072486,1.0,0.2816379366039363,0.0937184823653052,0.023745991045845002,0.02269509524159334,0.45507493074433697,0.12248649505389896,0.2417996062351666,0.3774731790378701,0.06781775003066028,0.004484468508899875,0.03037461049709443,0.2770093948567197
phase,0.39097278369872407,0.1153640470660684,0.024141964734487605,0.06119850251452909,0.2816379366039363,1.0,0.03216207330917941,0.010364425222735337,0.24935637040325212,0.2673898745092207,0.011105095417070764,0.26536485324971737,0.03353268058004283,0.019085467744628052,0.1571563710066879,0.12737919502356362,0.05568087468124233
quality,0.12096039786868125,0.019607756118155115,0.07433224634515036,0.351459022554583,0.0937184823653052,0.03216207330917941,1.0,0.05463224075779257,0.10071250316026406,0.29099172278624186,0.37253371304596916,0.09813539795243599,0.40492124402788265,0.2516229004129766,0.18075718556731168,0.28757842571975284,0.05106483535867878
relator,0.015718637383884834,0.0800283161892456,0.38946858570415216,0.09873591408137011,0.023745991045845002,0.010364425222735337,0.05463224075779257,1.0,0.1966098645785865,0.1869307585636985,0.061165300682298716,0.13690683509461252,0.2650046326341985,0.029125249962064132,0.40242771343798195,0.06167754336124375,0.595163905335002
role,0.008831532672452621,0.10226864601884728,0.06778224499252501,0.4350279608757728,0.02269509524159334,0.24935637040325212,0.10071250316026406,0.1966098645785865,1.0,0.024258745603606417,0.1393716719753566,0.024250236292059392,0.04559899927630854,0.04740796148459268,0.22466838313951693,0.34383508932050333,0.06517681932078435
roleMixin,0.3162708542006183,0.08730470043016039,0.35438398028511725,0.34335027231913157,0.45507493074433697,0.2673898745092207,0.29099172278624186,0.1869307585636985,0.024258745603606417,1.0,0.024562662072454125,0.12774100531053548,0.3225839079693659,0.2945139375513038,0.21288506678241345,0.22358998454437445,0.27809624996275656
situation,0.02607069662858437,0.22626691433532414,0.4809313508596863,0.3052327751196507,0.12248649505389896,0.011105095417070764,0.37253371304596916,0.061165300682298716,0.1393716719753566,0.024562662072454125,1.0,0.21070700272271725,0.2940419667066747,0.286355292670393,0.02181860009401027,0.14413371288310634,0.04517256011644981
subkind,0.5486907674459186,0.07942323085739872,0.06641284284924708,0.3215231867976728,0.2417996062351666,0.26536485324971737,0.09813539795243599,0.13690683509461252,0.024250236292059392,0.12774100531053548,0.21070700272271725,1.0,0.06802936816333749,0.3168959998244365,0.026250430504961786,0.2999766041637648,0.19364918162047545
characterization,0.36719483601856945,0.1012105121892903,0.12668162305644498,0.13776765828593202,0.3774731790378701,0.03353268058004283,0.40492124402788265,0.2650046326341985,0.04559899927630854,0.3225839079693659,0.2940419667066747,0.06802936816333749,1.0,0.13610644614970624,0.14432333859111413,0.12537926787487616,0.5943509184543871
componentOf,0.039610696363270734,0.1762443203600099,0.29101433102070207,0.3570156196674924,0.06781775003066028,0.019085467744628052,0.2516229004129766,0.029125249962064132,0.04740796148459268,0.2945139375513038,0.286355292670393,0.3168959998244365,0.13610644614970624,1.0,0.21109893072060257,0.15873142618979322,0.03753945910385266
derivation,0.027659484096834993,0.11269121114998457,0.21545978745115246,0.28551203627515687,0.004484468508899875,0.1571563710066879,0.18075718556731168,0.40242771343798195,0.22466838313951693,0.21288506678241345,0.02181860009401027,0.026250430504961786,0.14432333859111413,0.21109893072060257,1.0,0.6433905033165364,0.3592540730923385
material,0.2287536448393519,0.04179075025657944,0.08919791089418756,0.5076066246861926,0.03037461049709443,0.12737919502356362,0.28757842571975284,0.06167754336124375,0.34383508932050333,0.22358998454437445,0.14413371288310634,0.2999766041637648,0.12537926787487616,0.15873142618979322,0.6433905033165364,1.0,0.16548673301351713
mediation,0.3488476942197912,0.07454254970338726,0.13264456522775994,0.02792065806545158,0.2770093948567197,0.05568087468124233,0.05106483535867878,0.595163905335002,0.06517681932078435,0.27809624996275656,0.04517256011644981,0.19364918162047545,0.5943509184543871,0.03753945910385266,0.3592540730923385,0.16548673301351713,1.0
