Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,63,1,63,6.7164179104477615
none_r,63,2,126,13.432835820895523
relator,57,3,183,19.50959488272921
subkind,53,4,236,25.15991471215352
category,51,5,287,30.597014925373134
role,50,6,337,35.927505330490405
mediation,50,7,387,41.25799573560768
characterization,46,8,433,46.16204690831556
mode,34,9,467,49.78678038379531
quality,33,10,500,53.304904051172706
event,33,11,533,56.823027718550115
roleMixin,30,12,563,60.021321961620465
material,29,13,592,63.11300639658849
phase,27,14,619,65.99147121535182
derivation,24,15,643,68.5501066098081
participation,23,16,666,71.00213219616205
componentOf,22,17,688,73.34754797441366
externalDependence,18,18,706,75.26652452025586
collective,18,19,724,77.18550106609808
datatype,17,20,741,78.99786780383795
other_r,17,21,758,80.81023454157783
type,16,22,774,82.51599147121536
creation,15,23,789,84.11513859275054
instantiation,14,24,803,85.60767590618337
situation,14,25,817,87.10021321961621
memberOf,14,26,831,88.59275053304904
historicalDependence,13,27,844,89.97867803837953
mixin,11,28,855,91.15138592750533
manifestation,11,29,866,92.32409381663112
none_c,11,30,877,93.49680170575692
bringsAbout,10,31,887,94.56289978678039
other_c,9,32,896,95.52238805970148
phaseMixin,8,33,904,96.37526652452026
triggers,8,34,912,97.22814498933901
quantity,5,35,917,97.76119402985076
historicalRole,4,36,921,98.18763326226014
enumeration,4,37,925,98.61407249466951
comparative,4,38,929,99.0405117270789
participational,3,39,932,99.36034115138592
historicalRoleMixin,3,40,935,99.68017057569296
termination,2,41,937,99.89339019189765
abstract,1,42,938,100.0
subQuantityOf,0,43,938,100.0
subCollectionOf,0,44,938,100.0
