Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.03654435019808827,0.11798626471077009,0.11133318293158305,0.23551185768365623,0.065322047723084,0.18224078155812617,0.02918780994615664,0.12206718593880915,0.13148522452368833,0.0030407290590533527,0.12219611868550904,0.1390003212231753,0.09571126975457356,0.018629010133460164
collective,0.03654435019808827,1.0,0.1145408263217949,0.16252146859566297,0.019162487161055206,0.1391554184091373,0.09306418175086591,0.04350352311107422,0.10133772323876095,0.02731336741439411,0.23720587576250182,0.06645383085417475,0.06256203624244991,0.13086097323144988,0.4322689553630309
datatype,0.11798626471077009,0.1145408263217949,1.0,0.028119564123163257,0.3584949586619557,0.04768693414190498,0.09242383173929135,0.16705271195968435,0.11115875758236987,0.22632738762454482,0.03312840668136357,0.29450607357147135,0.28801577864864725,0.059428921863357735,0.11343530282172073
kind,0.11133318293158305,0.16252146859566297,0.028119564123163257,1.0,0.1261891471563994,0.0442531514136554,0.05109941240889621,0.08589018006268047,0.3348093093724249,0.16107587377956495,0.30841096316953415,0.1743753734967714,0.17257716169794962,0.07468781409864096,0.06648564910587067
phase,0.23551185768365623,0.019162487161055206,0.3584949586619557,0.1261891471563994,1.0,0.14095189274529787,0.12202022099191981,0.2584700933347078,0.24627051354509708,0.2522745448217273,0.19484675465485587,0.12497773393983211,0.04209815008207998,0.13674210826918654,0.24418175858273367
relator,0.065322047723084,0.1391554184091373,0.04768693414190498,0.0442531514136554,0.14095189274529787,1.0,0.556378168963377,0.22185103936842854,0.17560016973383863,0.10448012097286784,0.17861211466642893,0.34219869588198504,0.39065077971174744,0.9659433802624712,0.11566573855142145
role,0.18224078155812617,0.09306418175086591,0.09242383173929135,0.05109941240889621,0.12202022099191981,0.556378168963377,1.0,0.1357350890823833,0.10397893527191898,0.2684338940341209,0.19922884703473778,0.17581831296393563,0.23253234385331667,0.5696059152547371,0.09889233768657592
roleMixin,0.02918780994615664,0.04350352311107422,0.16705271195968435,0.08589018006268047,0.2584700933347078,0.22185103936842854,0.1357350890823833,1.0,0.03695621961370502,0.14185778548738293,0.11042547845046102,0.14720650577369537,0.11994230333398352,0.2209262019386838,0.24461120090074853
subkind,0.12206718593880915,0.10133772323876095,0.11115875758236987,0.3348093093724249,0.24627051354509708,0.17560016973383863,0.10397893527191898,0.03695621961370502,1.0,0.12763847461941485,0.3803743797011318,0.10402156029522203,0.05661774427637796,0.19301550659311073,0.14148809075936034
characterization,0.13148522452368833,0.02731336741439411,0.22632738762454482,0.16107587377956495,0.2522745448217273,0.10448012097286784,0.2684338940341209,0.14185778548738293,0.12763847461941485,1.0,0.11920539671854202,0.10621469446267115,0.30446572438448566,0.12752112443829416,0.1353364863319
componentOf,0.0030407290590533527,0.23720587576250182,0.03312840668136357,0.30841096316953415,0.19484675465485587,0.17861211466642893,0.19922884703473778,0.11042547845046102,0.3803743797011318,0.11920539671854202,1.0,0.2518401012015032,0.2458662787450264,0.13408496275753662,0.08947533119694667
derivation,0.12219611868550904,0.06645383085417475,0.29450607357147135,0.1743753734967714,0.12497773393983211,0.34219869588198504,0.17581831296393563,0.14720650577369537,0.10402156029522203,0.10621469446267115,0.2518401012015032,1.0,0.7531503956485948,0.3431106743162333,0.04891462661164421
material,0.1390003212231753,0.06256203624244991,0.28801577864864725,0.17257716169794962,0.04209815008207998,0.39065077971174744,0.23253234385331667,0.11994230333398352,0.05661774427637796,0.30446572438448566,0.2458662787450264,0.7531503956485948,1.0,0.39458851834320713,0.03472019867861767
mediation,0.09571126975457356,0.13086097323144988,0.059428921863357735,0.07468781409864096,0.13674210826918654,0.9659433802624712,0.5696059152547371,0.2209262019386838,0.19301550659311073,0.12752112443829416,0.13408496275753662,0.3431106743162333,0.39458851834320713,1.0,0.08970235119841011
memberOf,0.018629010133460164,0.4322689553630309,0.11343530282172073,0.06648564910587067,0.24418175858273367,0.11566573855142145,0.09889233768657592,0.24461120090074853,0.14148809075936034,0.1353364863319,0.08947533119694667,0.04891462661164421,0.03472019867861767,0.08970235119841011,1.0
