Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,72,1,72,11.285266457680251
relator,63,2,135,21.15987460815047
subkind,61,3,196,30.721003134796238
category,59,4,255,39.96865203761755
role,58,5,313,49.059561128526646
mode,41,6,354,55.4858934169279
quality,40,7,394,61.75548589341693
event,37,8,431,67.55485893416929
roleMixin,35,9,466,73.04075235109718
phase,32,10,498,78.0564263322884
collective,23,11,521,81.6614420062696
datatype,20,12,541,84.79623824451411
type,18,13,559,87.61755485893417
none,15,14,574,89.96865203761756
situation,15,15,589,92.31974921630093
mixin,13,16,602,94.35736677115987
other,9,17,611,95.7680250783699
phaseMixin,8,18,619,97.02194357366771
quantity,7,19,626,98.11912225705329
enumeration,4,20,630,98.7460815047022
historicalRole,4,21,634,99.37304075235109
historicalRoleMixin,3,22,637,99.84326018808778
abstract,1,23,638,100.0
