Percentage,Top k Stereotypes,Coverage
10.0,2,0.2115987460815047
20.0,4,0.3996865203761755
30.0,6,0.554858934169279
40.0,9,0.7304075235109718
50.0,11,0.8166144200626959
60.0,13,0.8761755485893417
70.0,16,0.9435736677115988
80.0,18,0.9702194357366771
90.0,20,0.987460815047022
100.0,23,1.0
