stereotype,total_correlation,rank
bringsAbout,3.0965707916015948,7
characterization,3.160726794688605,6
componentOf,2.304316586602466,14
creation,3.2999225202103206,5
derivation,2.4644835032827936,13
externalDependence,3.0865920095629047,8
historicalDependence,3.7625333980981033,4
instantiation,3.88736100922874,3
manifestation,4.389051523426459,1
material,2.873620663958254,9
mediation,2.5076343519651956,12
memberOf,2.5272772656145177,11
participation,4.350545095751796,2
triggers,2.8642044879310036,10
none,1.4517428879487113,16
other,1.548360747727398,15
