Stereotype,average_quantity,rank,proportion
bringsAbout,0,9,0.0
characterization,4,3,0.08333333333333333
comparative,0,9,0.0
componentOf,2,5,0.041666666666666664
creation,0,9,0.0
derivation,1,7,0.020833333333333332
externalDependence,0,9,0.0
historicalDependence,0,9,0.0
instantiation,0,9,0.0
manifestation,0,9,0.0
material,3,4,0.0625
mediation,7,2,0.14583333333333334
memberOf,0,9,0.0
participation,2,5,0.041666666666666664
participational,0,9,0.0
subCollectionOf,0,9,0.0
subQuantityOf,0,9,0.0
termination,0,9,0.0
triggers,0,9,0.0
none,28,1,0.5833333333333334
other,1,7,0.020833333333333332
