stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.2978056797160526
characterization,creation,0.11084457960847881
characterization,derivation,0.012834137335335996
characterization,externalDependence,0.2853543617566338
characterization,instantiation,0.24562067496352735
characterization,material,0.2658219118937189
characterization,mediation,0.24903672156875478
characterization,memberOf,0.17184762274629764
characterization,participation,0.26383251973678307
characterization,none,0.04748362574423665
characterization,other,0.024715118251073788
componentOf,creation,0.10151192934992796
componentOf,derivation,0.02941528072151252
componentOf,externalDependence,0.01234768663729917
componentOf,instantiation,0.24483393871290424
componentOf,material,0.33368710328906076
componentOf,mediation,0.2517269631045322
componentOf,memberOf,0.3897720478738082
componentOf,participation,0.0762586971893893
componentOf,none,0.06815659933344395
componentOf,other,0.056096740850403365
creation,derivation,0.04491185371853128
creation,externalDependence,0.19174453010765605
creation,instantiation,0.32528966001689785
creation,material,0.024915855988286127
creation,mediation,0.1580475245931361
creation,memberOf,0.2716467505108809
creation,participation,0.6955988464659634
creation,none,0.08807113408387494
creation,other,0.015542300332463661
derivation,externalDependence,0.16437474773458027
derivation,instantiation,0.1856377125841906
derivation,material,0.46297520162120337
derivation,mediation,0.4185671620419534
derivation,memberOf,0.24439523665454435
derivation,participation,0.03710860765118875
derivation,none,0.08948789798057259
derivation,other,0.1844422177261278
externalDependence,instantiation,0.5155192966732647
externalDependence,material,0.25354115827908863
externalDependence,mediation,0.006335969934762666
externalDependence,memberOf,0.11374766517232132
externalDependence,participation,0.23232466660196993
externalDependence,none,0.03884609226714876
externalDependence,other,0.09445875249627632
instantiation,material,0.10824353091611259
instantiation,mediation,0.06574438504651722
instantiation,memberOf,0.10366811420009192
instantiation,participation,0.3993195016075755
instantiation,none,0.07822148100071281
instantiation,other,0.15339783751063474
material,mediation,0.43156549753303763
material,memberOf,0.34068906266731264
material,participation,0.02537438086790988
material,none,0.19766233135852207
material,other,0.05685296566064764
mediation,memberOf,0.416374398810689
mediation,participation,0.048443907824538106
mediation,none,0.1319456964904149
mediation,other,0.050781364602144115
memberOf,participation,0.2384178652086402
memberOf,none,0.06306188461648991
memberOf,other,0.16086415141690547
participation,none,0.11291776616711334
participation,other,0.10169963458948443
none,other,0.08654760315217859
