Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers,none,other
bringsAbout,1.0,0.23346560846560846,0.09066956813927143,0.1561698269999853,-0.026899001451946777,0.1561698269999853,0.2794742987493469,0.1363472993898431,0.31180478223116176,0.13598184489797083,-0.20634920634920634,-0.06900655593423542,0.4827698038025047,0.6848185331469225,0.057638079109370084,-0.06900655593423542
characterization,0.23346560846560846,1.0,0.30600979247004106,0.17302906968748372,0.00504356277224002,0.32476225387496943,0.21864532402155779,0.2723179487813717,0.30066889715147743,0.27784140972727916,0.2931547619047619,0.14951420452417674,0.3134763658918948,0.2579059810995543,0.020515248496555456,-0.01437636581963238
componentOf,0.09066956813927143,0.30600979247004106,1.0,0.09391786047461384,0.0584668506249623,-0.059034083726900125,0.17028439362578274,0.22438813073096453,0.15715463927342804,0.3319562856090522,0.1635052322511494,0.35649927611562937,0.07348704390652692,-0.04136006451229722,0.04136006451229722,0.13622330062954943
creation,0.1561698269999853,0.17302906968748372,0.09391786047461384,1.0,0.005413319619607667,0.24,0.43054030797769477,0.37293280198067924,0.47809144373375745,0.03580574370197164,0.12245134162498848,0.21911075694617052,0.732904945995008,0.007864026893759719,0.21626073957839226,-0.015430334996209192
derivation,-0.026899001451946777,0.00504356277224002,0.0584668506249623,0.005413319619607667,1.0,-0.2002928259254837,-0.14361413797053765,-0.14361413797053765,-0.22645540682891915,0.4918383847491867,0.43626817979876176,0.2601938790610853,-0.04941662111074008,0.10802262109802127,0.10429770312912398,0.20464687117164013
externalDependence,0.1561698269999853,0.32476225387496943,-0.059034083726900125,0.24,-0.2002928259254837,1.0,0.31532529598366377,0.48814781397471024,0.4183300132670377,-0.20716180284712166,0.021295885499997995,0.10184021097498067,0.2869022920265156,0.1572805378751944,0.06684422859695761,0.04320493798938574
historicalDependence,0.2794742987493469,0.21864532402155779,0.17028439362578274,0.43054030797769477,-0.14361413797053765,0.31532529598366377,1.0,0.510939510939511,0.5580809183750252,0.07110816498686841,0.003954824982302079,0.09824718648648242,0.5397211798820181,0.28290342502608684,0.11349517936149797,-0.026199249729728646
instantiation,0.1363472993898431,0.2723179487813717,0.22438813073096453,0.37293280198067924,-0.14361413797053765,0.48814781397471024,0.510939510939511,1.0,0.6849174907329855,-0.1351597945170247,-0.04971779977751185,0.09824718648648242,0.43454474482808636,0.12434398327105292,0.11349517936149797,0.09824718648648242
manifestation,0.31180478223116176,0.30066889715147743,0.15715463927342804,0.47809144373375745,-0.22645540682891915,0.4183300132670377,0.5580809183750252,0.6849174907329855,1.0,-0.09629111081495541,-0.0890870806374748,0.0,0.5455447255899809,0.23028309323591914,0.09869275424396534,0.19364916731037085
material,0.13598184489797083,0.27784140972727916,0.3319562856090522,0.03580574370197164,0.4918383847491867,-0.20716180284712166,0.07110816498686841,-0.1351597945170247,-0.09629111081495541,1.0,0.4136643973298085,0.30387204106040644,0.02801659073402629,0.09925600932673888,-0.09925600932673888,0.1464110743291049
mediation,-0.20634920634920634,0.2931547619047619,0.1635052322511494,0.12245134162498848,0.43626817979876176,0.021295885499997995,0.003954824982302079,-0.04971779977751185,-0.0890870806374748,0.4136643973298085,1.0,0.3680349649825889,0.03645074021998777,-0.15972586329461033,-0.049090058902471985,0.09488401440957371
memberOf,-0.06900655593423542,0.14951420452417674,0.35649927611562937,0.21911075694617052,0.2601938790610853,0.10184021097498067,0.09824718648648242,0.09824718648648242,0.0,0.30387204106040644,0.3680349649825889,1.0,0.19438547858755884,-0.10617649821617199,0.025482359571881278,0.17666666666666667
participation,0.4827698038025047,0.3134763658918948,0.07348704390652692,0.732904945995008,-0.04941662111074008,0.2869022920265156,0.5397211798820181,0.43454474482808636,0.5455447255899809,0.02801659073402629,0.03645074021998777,0.19438547858755884,1.0,0.33740555226559266,0.2081864045894082,0.08733260632194671
triggers,0.6848185331469225,0.2579059810995543,-0.04136006451229722,0.007864026893759719,0.10802262109802127,0.1572805378751944,0.28290342502608684,0.12434398327105292,0.23028309323591914,0.09925600932673888,-0.15972586329461033,-0.10617649821617199,0.33740555226559266,1.0,0.13095238095238096,0.13590591771670016
none,0.057638079109370084,0.020515248496555456,0.04136006451229722,0.21626073957839226,0.10429770312912398,0.06684422859695761,0.11349517936149797,0.11349517936149797,0.09869275424396534,-0.09925600932673888,-0.049090058902471985,0.025482359571881278,0.2081864045894082,0.13095238095238096,1.0,0.10617649821617199
other,-0.06900655593423542,-0.01437636581963238,0.13622330062954943,-0.015430334996209192,0.20464687117164013,0.04320493798938574,-0.026199249729728646,0.09824718648648242,0.19364916731037085,0.1464110743291049,0.09488401440957371,0.17666666666666667,0.08733260632194671,0.13590591771670016,0.10617649821617199,1.0
