model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,unique_class_stereotypes,unique_relation_stereotypes,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,9,1,1.380952380952381,2.4166666666666665,1.0,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.14285714285714285,0.8571428571428571
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,20,33,4,4,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.37735849056603776,0.6226415094339622
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,6,1,1.3870967741935485,21.5,1.0,0.0,0.06451612903225806,0.9354838709677419,1.0,0.0,0.06451612903225806,0.9354838709677419
aguiar2019ooco,56,56,0,56,0,31,17,14,6,25,6,1,1.8064516129032258,3.2941176470588234,1.0,0.0,0.5483870967741935,0.45161290322580644,1.0,0.0,0.1935483870967742,0.8064516129032258
aires2022valuenetworks-geo,22,22,0,20,2,53,24,29,20,33,4,4,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.37735849056603776,0.6226415094339622
albuquerque2011ontobio,147,147,0,147,0,43,38,5,30,13,11,4,3.4186046511627906,3.8684210526315788,1.0,0.0,0.8837209302325582,0.11627906976744186,1.0,0.0,0.6976744186046512,0.3023255813953488
alkhalaf2024,148,148,0,148,0,126,122,4,97,29,10,5,1.1746031746031746,1.2131147540983607,1.0,0.0,0.9682539682539683,0.031746031746031744,1.0,0.0,0.7698412698412699,0.23015873015873015
alpinebits2022,78,78,0,67,11,37,34,3,30,7,10,4,2.108108108108108,2.2941176470588234,1.0,0.0,0.918918918918919,0.08108108108108109,0.8589743589743589,0.14102564102564102,0.8108108108108109,0.1891891891891892
amaral2019rot,48,48,0,40,8,45,30,15,18,27,10,5,1.0666666666666667,1.6,1.0,0.0,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.4,0.6
amaral2020game-theory,22,22,0,21,1,20,12,8,8,12,7,5,1.1,1.8333333333333333,1.0,0.0,0.6,0.4,0.9545454545454546,0.045454545454545456,0.4,0.6
