Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,0.06031264860167887,0.09900850411590917,0.07718787941156484,-0.0314176459735234,0.11422077114837663,0.32693714368563326,0.05549995384239127,0.21145371978354383,-0.027685680959293645,-0.02412250323156646,0.24636747474059953,0.1741604160333161,0.277059842133645,0.22739045416812786,-0.06137235464688894,0.08963350883291855,0.2427265829629598,0.33753073004156253,0.24819124326114295,-0.022810855950704586,-0.06551465706278024,0.1358053084016818,0.15792131042795482,0.17275181308013182,0.12620485040306562,0.06470015334052999,0.03372481516366718,-0.020776185240555797,0.09388193232185219,0.11990339657864413,-0.08154642449567649
collective,0.06031264860167887,1.0,0.1069601965013415,-0.042110078007650306,0.10616027076679957,0.08726171906745601,0.14051468135184364,0.3197138373318457,-0.035043512883442124,0.1725857907548317,0.07148500248789123,-0.05502983910768428,-0.26925257194119334,0.21340236413878144,0.022673900795047858,-0.10533736087428619,-0.06870162305161859,-0.19576052988617368,0.1203215389166575,0.20714049992699066,0.03977547389612546,0.04839528258607583,0.008337194039277454,0.10585408375581774,0.023062025753541944,0.006167567121055948,0.04850859285181952,0.2187883346258099,0.6953219828757395,0.06292872000760824,-0.08726171906745601,0.11217572992137999
datatype,0.09900850411590917,0.1069601965013415,1.0,0.08867904797314587,0.12657360679396967,-0.003979675956138828,-0.00849054714636503,0.03570543852386148,0.1849848343095233,-0.1497256426346782,-0.04396276048243433,-0.07665133793180054,0.1942329269096203,0.059218746371636245,0.06997211031526694,0.06433809462424439,0.034663501435720785,0.13711082533089905,0.037989754049396106,0.1289197466439534,0.01024037037014558,0.004681780808688318,-0.004731723618466156,0.2211919999951445,0.06433809462424439,-0.10865716652728767,-0.01768468698888778,-0.041764030924678286,0.11711015955703737,0.1200947420812919,0.14061521711690525,-0.03838810192125618
event,0.07718787941156484,-0.042110078007650306,0.08867904797314587,1.0,-0.26039041205418356,-0.08620109117803146,0.17126436781609194,0.019472894418922294,0.09326247831276857,-0.16405103605275953,-0.1532691082910326,0.26489926611666026,0.5399392480033207,-0.03848092617356855,0.2876082927204621,0.0802747661595418,0.13566003786775707,0.3925637275567328,0.1558120677007835,-0.12607064021625838,0.4502738797570992,0.014366262730568659,0.30987419884676826,0.336041836370446,0.3022425759429728,0.3512554897365652,-0.036493862115152834,-0.1013801253607417,0.062455264883844765,0.5794467044309968,0.25267694851560474,0.12173485953609418
kind,-0.0314176459735234,0.10616027076679957,0.12657360679396967,-0.26039041205418356,1.0,-0.0060799708882683465,0.03651230870132463,0.2685897308059408,0.050975028352662606,0.1667583168602729,0.4769422704382245,-0.1920222610610064,-0.2094999344732895,0.38758622797680914,-0.27277997333179044,-0.07566185994289498,0.019899124238313817,-0.2276028603743236,-0.015763691696541595,0.17043931741160923,-0.02016438276473102,0.3072975450256138,-0.25542168674698795,-0.3066376827326338,-0.21482563805214824,-0.20425247635853078,0.3490417187527272,0.21317298908175156,0.11686746987951807,-0.25196157393836394,-0.06350191816635828,0.13443428141050612
mixin,0.11422077114837663,0.08726171906745601,-0.003979675956138828,-0.08620109117803146,-0.0060799708882683465,1.0,0.13576671860539954,0.20915121308217663,0.21688791195008505,0.04982714649866149,0.23808772588098065,0.10549337861748301,-0.05442816368295633,-0.03823000313386505,0.08749844035108169,0.06363636363636363,-0.18356062532920114,-0.053643174128257524,0.1649915822768611,0.020210493359310105,-0.08343298676955058,-0.07486325753428887,-0.06350191816635828,0.07719500645033184,0.06363636363636363,0.19323673910630282,0.1140962964213472,0.10307909887703048,0.0060799708882683465,-0.03223769959269378,-0.06363636363636363,0.11892374507581378
mode,0.32693714368563326,0.14051468135184364,-0.00849054714636503,0.17126436781609194,0.03651230870132463,0.13576671860539954,1.0,0.14749681730077313,0.21641677659757835,0.1513644225980128,0.0946898155934128,0.26489926611666026,-0.06565504467553991,0.17692860621108147,0.1866759106073187,0.0802747661595418,-0.1279811677997708,0.07568234872958955,0.5089606905825105,0.12771325442103046,0.10757774959713946,0.05788758806140901,0.30987419884676826,0.05046172790381284,0.13576671860539954,0.16822353977265517,0.0834700037740198,0.26007901390621047,0.16142283846901417,0.07012698672710278,0.030709138732173707,-0.09824216734491811
phase,0.05549995384239127,0.3197138373318457,0.03570543852386148,0.019472894418922294,0.2685897308059408,0.20915121308217663,0.14749681730077313,1.0,0.09611011926613733,0.08893623036166641,0.20261953153137838,0.01547266298842166,-0.03920741242639778,0.37405576884240765,-0.03920741242639778,-0.0908846496958762,0.050375643964197366,-0.021291812201066927,0.018949980749121964,0.1540913344196481,-0.07495556751612514,0.05985622752694963,-0.10805931142676148,-0.013192179882838025,-0.030877477140265633,-0.04035358609429867,0.1150312117136507,0.13197661100348668,0.15949138753853737,-0.0612497447932617,-0.029129695415344936,0.027251804777456586
quality,0.21145371978354383,-0.035043512883442124,0.1849848343095233,0.09326247831276857,0.050975028352662606,0.21688791195008505,0.21641677659757835,0.09611011926613733,1.0,0.19158495774239231,0.13898473496527455,0.09614344651694866,0.22884490395544435,0.11138565323217431,0.28134161911671557,0.15916322220626397,-0.16135420595157496,0.2739459353606583,0.5215131625303397,-0.008116350353701016,0.00634519556871125,-0.05142595331119057,0.20639888931029074,0.18458750745341815,0.2746126016939061,0.24153835049259817,-0.01373101027711423,0.12452296508308522,-0.15392459541784395,0.2221190418457658,-0.04371384271862179,-0.08175597908945827
relator,-0.027685680959293645,0.1725857907548317,-0.1497256426346782,-0.16405103605275953,0.1667583168602729,0.04982714649866149,0.1513644225980128,0.08893623036166641,0.19158495774239231,1.0,0.14934720007463276,0.1638144885877078,-0.12699229654858,0.119394938089739,-0.12699229654858,-0.20361463569206115,-0.16307916548263685,-0.08852139560753805,0.2635958837640212,0.052045930649371415,-0.03039136312387795,0.36376796495449176,0.05924308625299169,0.03482343691277682,-0.07689374459669983,-0.06763268735128172,0.1985903788522453,0.7292586522065967,0.172243787809624,0.0030796406769908356,-0.04982714649866149,0.05364768687134362
