Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,material,mediation,participation,none_r,other_r
category,1.0,0.11486390969687052,0.08832155900960513,0.2672155114217641,-0.09172272325111741,0.24036754146298714,-0.10333628213544258,-0.17320849151159376,0.23777360821093688,0.21607701745359664,0.0015332903510426443,-0.05909630864038658,0.38998484153616103,0.19786834141589213,0.14078551289891864,-0.0006443637704266516,0.19584529857059005,0.13164302234486316,-0.03525785365449332
event,0.11486390969687052,1.0,-0.30061416180704437,0.15260166582980347,0.029359750933988554,0.12601145533519634,-0.1508036884135783,-0.13798867519015678,0.3214544857967257,-0.03855364869125584,0.1706708487518875,0.09104189068301105,0.1961310995362662,-0.10173755343249173,-0.010040592427752027,-0.07349207166191442,0.6129765477444601,0.1959442924827117,0.15759029048300224
kind,0.08832155900960513,-0.30061416180704437,1.0,0.010198150161831928,0.2301599849568405,0.09724818703946808,0.30717050009244995,0.3289226665756687,-0.3100581827920629,0.5392290454869604,-0.133884013446782,-0.027658320915226634,-0.054611618088874964,0.39322881370082674,0.32624843180201346,0.20484738335796956,-0.24532394019871118,0.0662554038321681,-0.044841513370043384
mode,0.2672155114217641,0.15260166582980347,0.010198150161831928,1.0,0.061284146588240176,0.18588584309204378,0.033970102904940375,0.09976187927082275,0.20086043363432465,0.12106681440968699,0.07368550234289985,-0.12806094029869014,0.5493805690491936,0.16733470807444836,0.06643972674045331,0.21474442710279115,0.08073243208436721,0.021034727348680116,-0.023119941006305312
phase,-0.09172272325111741,0.029359750933988554,0.2301599849568405,0.061284146588240176,1.0,0.10701136439959975,0.1935180946285741,0.3109315654642673,-0.006945388640157479,0.29616156978821484,-0.11006480947361788,0.027018513316533762,0.0018230015261118113,0.12087521222702835,0.14190771879013217,0.26531589993971993,-0.08212463772802267,-0.14864442374367787,0.03292073666401284
quality,0.24036754146298714,0.12601145533519634,0.09724818703946808,0.18588584309204378,0.10701136439959975,1.0,0.13246878973969484,0.03152192754351071,0.10082750075338467,0.2766133123027017,0.13857172179847774,-0.18526426637807478,0.6168202551046285,0.04386706096725392,0.03152692182789669,0.16950507591694075,0.26110216081193227,-0.06865213372027452,-0.06997596210627528
relator,-0.10333628213544258,-0.1508036884135783,0.30717050009244995,0.033970102904940375,0.1935180946285741,0.13246878973969484,1.0,0.3729960965119697,0.1571977353831309,0.18353500212075474,-0.22833209725664877,-0.118861412130032,0.14518405618092875,0.2349998940264697,0.19991203630253573,0.7120249677433866,-0.046057294407488104,-0.08185849341027329,0.13999810167912827
role,-0.17320849151159376,-0.13798867519015678,0.3289226665756687,0.09976187927082275,0.3109315654642673,0.03152192754351071,0.3729960965119697,1.0,-0.019674713665924666,0.08186743247178226,-0.03885951608128745,-0.03241265517685013,0.016627014733391676,0.05726046881169211,0.121168741219016,0.3385369439776577,-0.3151720333803358,0.029165485885583597,-0.029687355626031378
roleMixin,0.23777360821093688,0.3214544857967257,-0.3100581827920629,0.20086043363432465,-0.006945388640157479,0.10082750075338467,0.1571977353831309,-0.019674713665924666,1.0,-0.07914992016243352,0.006312403666298541,-0.13527452290466357,0.2628264814410713,-0.03841327268073299,-0.07674370823086865,0.1808163047023428,0.27109114985430816,0.11914850662595051,0.09377914586668848
subkind,0.21607701745359664,-0.03855364869125584,0.5392290454869604,0.12106681440968699,0.29616156978821484,0.2766133123027017,0.18353500212075474,0.08186743247178226,-0.07914992016243352,1.0,-0.10988245277605758,-0.09197563385652383,0.10987563527239151,0.2834283178111898,0.2281563650371621,0.2491776247939363,-0.06154675388265513,-0.07972918221844545,-0.13731447518601472
none_c,0.0015332903510426443,0.1706708487518875,-0.133884013446782,0.07368550234289985,-0.11006480947361788,0.13857172179847774,-0.22833209725664877,-0.03885951608128745,0.006312403666298541,-0.10988245277605758,1.0,0.11438837401244879,0.01116900245590482,-0.06844598428788097,0.07435029468901047,-0.1216066487312464,0.03629279028175206,0.16056676708881962,-0.0843300778648203
other_c,-0.05909630864038658,0.09104189068301105,-0.027658320915226634,-0.12806094029869014,0.027018513316533762,-0.18526426637807478,-0.118861412130032,-0.03241265517685013,-0.13527452290466357,-0.09197563385652383,0.11438837401244879,1.0,-0.1709388735941491,-0.10440110777447624,-0.08920084713816175,-0.2380018303326864,-0.1767610804493089,0.2872729455938332,0.08817250747285135
characterization,0.38998484153616103,0.1961310995362662,-0.054611618088874964,0.5493805690491936,0.0018230015261118113,0.6168202551046285,0.14518405618092875,0.016627014733391676,0.2628264814410713,0.10987563527239151,0.01116900245590482,-0.1709388735941491,1.0,0.19444212413873138,0.09042036571743166,0.2988226884723919,0.31786893951460465,-0.06037731256197746,0.05841406670688749
componentOf,0.19786834141589213,-0.10173755343249173,0.39322881370082674,0.16733470807444836,0.12087521222702835,0.04386706096725392,0.2349998940264697,0.05726046881169211,-0.03841327268073299,0.2834283178111898,-0.06844598428788097,-0.10440110777447624,0.19444212413873138,1.0,0.22636697755920246,0.19490236967614805,-0.031908005476451146,-0.15902361305379634,-0.047145334190620176
material,0.14078551289891864,-0.010040592427752027,0.32624843180201346,0.06643972674045331,0.14190771879013217,0.03152692182789669,0.19991203630253573,0.121168741219016,-0.07674370823086865,0.2281563650371621,0.07435029468901047,-0.08920084713816175,0.09042036571743166,0.22636697755920246,1.0,0.2870572522393817,-0.06594276437030316,-0.19464563901628604,0.1129526105842456
mediation,-0.0006443637704266516,-0.07349207166191442,0.20484738335796956,0.21474442710279115,0.26531589993971993,0.16950507591694075,0.7120249677433866,0.3385369439776577,0.1808163047023428,0.2491776247939363,-0.1216066487312464,-0.2380018303326864,0.2988226884723919,0.19490236967614805,0.2870572522393817,1.0,0.027506373781230966,-0.3201524352338564,0.1649368281379999
