Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,88,1,88,7.236842105263158
kind,83,2,171,14.0625
relator,77,3,248,20.394736842105264
subkind,73,4,321,26.398026315789476
category,69,5,390,32.07236842105263
role,68,6,458,37.66447368421053
mediation,63,7,521,42.84539473684211
characterization,55,8,576,47.368421052631575
event,45,9,621,51.06907894736842
mode,45,10,666,54.76973684210527
roleMixin,42,11,708,58.223684210526315
material,41,12,749,61.5953947368421
quality,36,13,785,64.55592105263158
componentOf,32,14,817,67.1875
phase,31,15,848,69.73684210526315
derivation,29,16,877,72.12171052631578
other_r,28,17,905,74.42434210526315
collective,25,18,930,76.48026315789474
participation,24,19,954,78.45394736842105
datatype,21,20,975,80.18092105263158
externalDependence,20,21,995,81.82565789473685
memberOf,20,22,1015,83.4703947368421
type,19,23,1034,85.0328947368421
situation,19,24,1053,86.5953947368421
other_c,17,25,1070,87.99342105263158
mixin,15,26,1085,89.22697368421053
instantiation,15,27,1100,90.46052631578947
none_c,15,28,1115,91.69407894736842
creation,14,29,1129,92.8453947368421
historicalDependence,14,30,1143,93.99671052631578
manifestation,12,31,1155,94.98355263157895
bringsAbout,11,32,1166,95.88815789473685
triggers,9,33,1175,96.62828947368422
quantity,8,34,1183,97.28618421052632
phaseMixin,8,35,1191,97.94407894736842
enumeration,7,36,1198,98.51973684210526
historicalRole,4,37,1202,98.84868421052632
comparative,4,38,1206,99.17763157894737
historicalRoleMixin,3,39,1209,99.42434210526315
participational,2,40,1211,99.58881578947368
termination,2,41,1213,99.75328947368422
subCollectionOf,2,42,1215,99.91776315789474
abstract,1,43,1216,100.0
subQuantityOf,0,44,1216,100.0
