Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,material,mediation,participation,none_r,other_r
category,1.0,0.09415997881490265,0.05267689695486466,0.29557177817363967,0.07134848916925603,0.22544757873522137,0.05348771203483487,0.06463917075754586,0.24203240158063383,0.24467583522776076,0.009700599940253284,0.07278055717367772,0.3628110641488811,0.22160593326450123,0.09544026546843423,0.004661657329298508,0.1355962206920129,0.12563616324541052,0.05362044293845167
event,0.09415997881490265,1.0,0.27978035217337777,0.16166393483403715,0.02391065306727138,0.1084072904391543,0.15728795670624324,0.14542833699336682,0.29180996791998215,0.03851727026945074,0.11704940185156136,0.11113391173539011,0.17481302056532808,0.11325245469865114,0.019142100083659318,0.08631706342378369,0.5959758724009027,0.22250978833206583,0.1385071546029322
kind,0.05267689695486466,0.27978035217337777,1.0,0.019296580186428658,0.24863348206115998,0.07040759257055962,0.22632550802891233,0.39607716848512553,0.2440042485699762,0.45716271912288103,0.10064747127475726,0.023460101536763398,0.029340768745932666,0.258885400503284,0.33745268316692445,0.20896872736367472,0.24862060674294145,0.06486405192577287,0.07764171963101657
mode,0.29557177817363967,0.16166393483403715,0.019296580186428658,1.0,0.095074794623809,0.20057122170716152,0.07170679892312427,0.09719276697062655,0.23066811973397353,0.146356355283676,0.0769095993353538,0.12802104783574886,0.5287845627624639,0.14618775648384813,0.0744696195892693,0.2363271436859254,0.07524308734513188,0.025415710895901892,0.047658714977914386
phase,0.07134848916925603,0.02391065306727138,0.24863348206115998,0.095074794623809,1.0,0.1014143727253569,0.13118982370228885,0.2509996177939081,0.010366467949729497,0.33283771374155463,0.10001600698314804,0.0368927500638761,0.005877571252263879,0.13647645493022217,0.12776469326049705,0.18712427239507015,0.07092329026547245,0.06580248315103925,0.029952453800944846
quality,0.22544757873522137,0.1084072904391543,0.07040759257055962,0.20057122170716152,0.1014143727253569,1.0,0.1593079642844804,0.06618962717246127,0.09845762248866585,0.17552992475231075,0.14851101557835938,0.1728964100050528,0.5671683012584411,0.01886903378017527,0.020806164654366896,0.14528342868273353,0.24082309229682575,0.05478182705739078,0.07563698364375306
relator,0.05348771203483487,0.15728795670624324,0.22632550802891233,0.07170679892312427,0.13118982370228885,0.1593079642844804,1.0,0.23602102163330743,0.1604720119800752,0.14803090966250132,0.21561947221834307,0.13922578747578837,0.19562699097378466,0.11059289392683092,0.19925011173508633,0.7205902915762796,0.011909656474031603,0.06386528903335054,0.08666356974798811
role,0.06463917075754586,0.14542833699336682,0.39607716848512553,0.09719276697062655,0.2509996177939081,0.06618962717246127,0.23602102163330743,1.0,0.014936340493314706,0.054555603373036506,0.014806791874248968,0.0467909103341562,0.014569240384695606,0.017891749326838673,0.1219721400480185,0.1851545976554393,0.2988603219301151,0.012827643624795229,0.0265292290455065
roleMixin,0.24203240158063383,0.29180996791998215,0.2440042485699762,0.23066811973397353,0.010366467949729497,0.09845762248866585,0.1604720119800752,0.014936340493314706,1.0,0.028318813369921578,0.01767379501804351,0.14528803579960653,0.21817211963488342,0.008922340512199376,0.07295740115927697,0.17775235496619507,0.23104584881600562,0.08631871325159932,0.04925259945067674
subkind,0.24467583522776076,0.03851727026945074,0.45716271912288103,0.146356355283676,0.33283771374155463,0.17552992475231075,0.14803090966250132,0.054555603373036506,0.028318813369921578,1.0,0.10419918014955463,0.0709743723694001,0.06926811011012052,0.26387532934748825,0.1711719875739078,0.21798788813621592,0.09676377680453205,0.04221297315549467,0.07463661500136852
none_c,0.009700599940253284,0.11704940185156136,0.10064747127475726,0.0769095993353538,0.10001600698314804,0.14851101557835938,0.21561947221834307,0.014806791874248968,0.01767379501804351,0.10419918014955463,1.0,0.1136999944792134,0.024703746070936797,0.051842134971103244,0.065592911777028,0.08982096720135004,0.03453892253538042,0.12182061322573423,0.07498155341251146
other_c,0.07278055717367772,0.11113391173539011,0.023460101536763398,0.12802104783574886,0.0368927500638761,0.1728964100050528,0.13922578747578837,0.0467909103341562,0.14528803579960653,0.0709743723694001,0.1136999944792134,1.0,0.1364550084690812,0.08695620828430992,0.09176761690045844,0.23700214200414815,0.1799479141884726,0.22963449552139506,0.08453160230061807
characterization,0.3628110641488811,0.17481302056532808,0.029340768745932666,0.5287845627624639,0.005877571252263879,0.5671683012584411,0.19562699097378466,0.014569240384695606,0.21817211963488342,0.06926811011012052,0.024703746070936797,0.1364550084690812,1.0,0.21988761119280684,0.10568497536840596,0.33419056488053844,0.3008383497611826,0.0056871204263878455,0.07235093424262533
