stereotype,total_correlation,rank
category,4.5790353216945245,11
collective,5.220696250934718,5
datatype,3.8847761240368612,17
enumeration,2.4421707305937175,24
event,4.266370381239122,15
kind,4.554094218768003,12
mixin,5.67804678296775,2
mode,5.167116272992542,6
phase,4.321759680074393,14
quality,3.9081961929588536,16
quantity,5.25879289144971,4
relator,3.524157367529509,22
role,3.047987897595001,23
roleMixin,3.641254954627577,20
situation,3.5868204240220445,21
subkind,3.8544927044724524,18
type,4.520273224577817,13
characterization,5.821728211848323,1
componentOf,4.944359715618696,10
derivation,5.063568775642665,9
material,5.125324630377699,8
mediation,5.16035651833143,7
memberOf,5.532854189915631,3
subCollectionOf,3.711515452082489,19
