stereotype,total_correlation,rank
category,6.2041870296736095,2
event,2.520848626680749,16
kind,4.856856643231353,6
mode,4.839260288427403,7
phase,3.7377028939882697,15
relator,5.424622414489651,3
role,4.727363474403908,8
roleMixin,4.59665935728235,11
subkind,4.0945098945813365,14
type,4.7040853499611694,10
characterization,4.095434044195285,13
componentOf,5.322092148017157,5
derivation,4.723077498359729,9
material,5.3494595197333865,4
mediation,6.3140410009522965,1
memberOf,4.494967207507116,12
