Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.05849636774957285,0.16014943278495886,0.4790806957791458,0.3904835115254531,0.06660427887080765,0.14851467627035883,0.4347007131955777,0.5465630174054658,0.4167337366103182,0.426142438681468,0.16689272461496255,0.16343209042446466,0.37571603448822055,0.4437237933420106,0.2706206199227817
event,0.05849636774957285,1.0,0.3596486385426777,0.16199683688967492,0.07187075568344871,0.37301347086683695,0.04226752988631614,0.29524616345083726,0.025825633671973092,0.255162600953875,0.04969902987497614,0.29961054544059407,0.25222378802018086,0.08954910723930694,0.18777281707277796,0.12667856582226023
kind,0.16014943278495886,0.3596486385426777,1.0,0.02675831152482431,0.16386145478601138,0.13316370096240032,0.4743589690829171,0.09896075422818702,0.3253766020063766,0.060229730988346136,0.007049031464571939,0.41934169394323606,0.3438242302666984,0.5794027087424792,0.028894134611275744,0.16685928689927634
mode,0.4790806957791458,0.16199683688967492,0.02675831152482431,1.0,0.22772218339158917,0.20536248209671654,0.10608015709624735,0.49114511850131853,0.27672511704984154,0.3854625176931355,0.5090466312147341,0.1760044644597423,0.0830253703494209,0.1763159698328344,0.35665477297488796,0.3463954830587693
phase,0.3904835115254531,0.07187075568344871,0.16386145478601138,0.22772218339158917,1.0,0.0971126005833384,0.3143881188651824,0.34494902162593405,0.3568408491984646,0.1731261112797565,0.0492339841550499,0.18290800814898037,0.37266466823169825,0.23827271833667252,0.1860817653711115,0.1575694461185425
relator,0.06660427887080765,0.37301347086683695,0.13316370096240032,0.20536248209671654,0.0971126005833384,1.0,0.2325297683581272,0.30471325909625496,0.11095832647160794,0.21454768885027364,0.36192980201816416,0.09463806087513164,0.4449301287550894,0.2278034070673591,0.6742416045159313,0.1989353053871954
role,0.14851467627035883,0.04226752988631614,0.4743589690829171,0.10608015709624735,0.3143881188651824,0.2325297683581272,1.0,0.0,0.1316566761004268,0.3003038067061338,0.05516671320954743,0.038482046444149,0.22192206654494007,0.4238439455904715,0.12249030573455111,0.07359260738407555
roleMixin,0.4347007131955777,0.29524616345083726,0.09896075422818702,0.49114511850131853,0.34494902162593405,0.30471325909625496,0.0,1.0,0.1760006510152873,0.3365156095578573,0.356376354292173,0.13005977536048396,0.0,0.10197784976889439,0.36242775241902,0.0
subkind,0.5465630174054658,0.025825633671973092,0.3253766020063766,0.27672511704984154,0.3568408491984646,0.11095832647160794,0.1316566761004268,0.1760006510152873,1.0,0.3256823076561158,0.026100665190735686,0.35992506202684493,0.04272033136491728,0.35102672988377864,0.2730336458375747,0.10492359738954231
type,0.4167337366103182,0.255162600953875,0.060229730988346136,0.3854625176931355,0.1731261112797565,0.21454768885027364,0.3003038067061338,0.3365156095578573,0.3256823076561158,1.0,0.28907344737151963,0.13166324845417657,0.02526067813742571,0.28348592200914186,0.14591090229758402,0.26158418177652903
characterization,0.426142438681468,0.04969902987497614,0.007049031464571939,0.5090466312147341,0.0492339841550499,0.36192980201816416,0.05516671320954743,0.356376354292173,0.026100665190735686,0.28907344737151963,1.0,0.33467721275154166,0.23125920649371381,0.060197239210566356,0.6387270981999593,0.3813099553087889
componentOf,0.16689272461496255,0.29961054544059407,0.41934169394323606,0.1760044644597423,0.18290800814898037,0.09463806087513164,0.038482046444149,0.13005977536048396,0.35992506202684493,0.13166324845417657,0.33467721275154166,1.0,0.3796654841648225,0.3466700874701451,0.3179867667545542,0.5078123428594167
derivation,0.16343209042446466,0.25222378802018086,0.3438242302666984,0.0830253703494209,0.37266466823169825,0.4449301287550894,0.22192206654494007,0.0,0.04272033136491728,0.02526067813742571,0.23125920649371381,0.3796654841648225,1.0,0.6446654327004722,0.46227218137021814,0.34593328858000116
material,0.37571603448822055,0.08954910723930694,0.5794027087424792,0.1763159698328344,0.23827271833667252,0.2278034070673591,0.4238439455904715,0.10197784976889439,0.35102672988377864,0.28348592200914186,0.060197239210566356,0.3466700874701451,0.6446654327004722,1.0,0.3263489617129555,0.23601051508463702
mediation,0.4437237933420106,0.18777281707277796,0.028894134611275744,0.35665477297488796,0.1860817653711115,0.6742416045159313,0.12249030573455111,0.36242775241902,0.2730336458375747,0.14591090229758402,0.6387270981999593,0.3179867667545542,0.46227218137021814,0.3263489617129555,1.0,0.42126798927953735
memberOf,0.2706206199227817,0.12667856582226023,0.16685928689927634,0.3463954830587693,0.1575694461185425,0.1989353053871954,0.07359260738407555,0.0,0.10492359738954231,0.26158418177652903,0.3813099553087889,0.5078123428594167,0.34593328858000116,0.23601051508463702,0.42126798927953735,1.0
