Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,17.513028723791056
mediation,1342,2,2787,33.77772391225306
subkind,1059,3,3846,46.612531814325536
relator,935,4,4781,57.94449157677857
kind,708,5,5489,66.52526966428312
roleMixin,342,6,5831,70.67022179129803
componentOf,328,7,6159,74.64549751545267
category,312,8,6471,78.42685735062418
material,312,9,6783,82.20821718579566
mode,296,10,7079,85.795661131984
characterization,176,11,7255,87.9287359107987
event,154,12,7409,89.79517634226154
type,139,13,7548,91.4798206278027
phase,137,14,7685,93.14022542722094
memberOf,134,15,7819,94.76427099745486
derivation,119,16,7938,96.20652042176707
collective,70,17,8008,97.05490243606836
mixin,68,18,8076,97.87904496424676
quantity,33,19,8109,98.27899648527452
enumeration,25,20,8134,98.58199006181069
subCollectionOf,19,21,8153,98.81226517997818
situation,17,22,8170,99.01830081202279
participation,15,23,8185,99.2000969579445
comparative,15,24,8200,99.3818931038662
quality,13,25,8213,99.539449763665
externalDependence,10,26,8223,99.66064719427948
datatype,10,27,8233,99.78184462489395
historicalDependence,5,28,8238,99.84244334020119
manifestation,3,29,8241,99.87880256938553
subQuantityOf,3,30,8244,99.91516179856987
bringsAbout,3,31,8247,99.95152102775421
triggers,2,32,8249,99.9757605138771
instantiation,2,33,8251,100.0
historicalRoleMixin,0,34,8251,100.0
abstract,0,35,8251,100.0
historicalRole,0,36,8251,100.0
phaseMixin,0,37,8251,100.0
creation,0,38,8251,100.0
participational,0,39,8251,100.0
termination,0,40,8251,100.0
