stereotype,total_correlation,rank
category,5.657173174049904,2
event,3.192119438112964,16
kind,4.855082404010888,9
mode,5.231241805535551,5
phase,4.148386772797417,14
relator,4.592950874639479,11
role,4.036924017887499,15
roleMixin,4.238431677252858,13
subkind,4.2465512901904,12
type,4.719943058776021,10
characterization,5.060019274195515,7
componentOf,5.283909188856411,4
derivation,4.983263804420279,8
material,5.429129353435212,3
mediation,5.860351646407226,1
memberOf,5.09055367637715,6
