stereotype,total_correlation,rank
category,1.7344680977711309,12
collective,2.0325375405611283,7
datatype,1.1359836532147418,13
event,2.060554046054259,6
kind,2.7371161153653496,1
mixin,1.092430528066696,14
mode,1.9696171628698962,8
phase,2.071865472238589,5
quality,1.9434000475367856,9
relator,1.7571660534376194,11
role,2.085365429151953,4
situation,2.2133112677486397,2
subkind,2.1107718957300436,3
type,1.878909043907794,10
