Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.03947304316957919,0.16468223588800593,0.11219386069984918,0.11044902909942393,0.31832284869079397,0.042713395134430475,0.28518894292567576,0.07741792848429008,0.032978596642848336,0.23331523917160268,0.2468329046401339,0.20360035704135238,0.2633759358468439
collective,0.03947304316957919,1.0,0.09987245644507914,0.10152593177985904,0.208594695905535,0.10223511189974446,0.36720914406109,0.010442985128315785,0.315016324252835,0.14291591036459061,0.0393539453683358,0.2876423962786243,0.20263784555213815,0.08362582448549921
datatype,0.16468223588800593,0.09987245644507914,1.0,0.11931566889663717,0.059568674468592334,0.012590643476475202,0.02007419616806386,0.11610501176403427,0.06179149926583299,0.014039890569934826,0.018601319372230717,0.14810057397955861,0.06348115804238175,0.04980747613243447
event,0.11219386069984918,0.10152593177985904,0.11931566889663717,1.0,0.1548514182955247,0.1898597465163787,0.14366943746506386,0.135163401811906,0.0888093400199014,0.044161073001178296,0.2593167415722762,0.5138448080139364,0.04701469540829408,0.3145484998497077
kind,0.11044902909942393,0.208594695905535,0.059568674468592334,0.1548514182955247,1.0,0.10800791172443006,0.29102493592727674,0.1938046034350663,0.28967659761383135,0.4146574259753413,0.15214833941231445,0.20790090920992835,0.5384825117675932,0.2920875131580543
mode,0.31832284869079397,0.10223511189974446,0.012590643476475202,0.1898597465163787,0.10800791172443006,1.0,0.09060227363354335,0.3276243533126178,0.1241967898188466,0.20975606578593395,0.20132262380064259,0.03755414067682968,0.1985945118743517,0.23830276600692485
phase,0.042713395134430475,0.36720914406109,0.02007419616806386,0.14366943746506386,0.29102493592727674,0.09060227363354335,1.0,0.09829525094476167,0.23766699947913494,0.3204373619304746,0.007877447684472025,0.06275708099264331,0.3367458472168998,0.04510631421652188
quality,0.28518894292567576,0.010442985128315785,0.11610501176403427,0.135163401811906,0.1938046034350663,0.3276243533126178,0.09829525094476167,1.0,0.201772952295207,0.17799485385800873,0.05198967898283681,0.16239496503789644,0.2689986555254848,0.16362767644436302
relator,0.07741792848429008,0.315016324252835,0.06179149926583299,0.0888093400199014,0.28967659761383135,0.1241967898188466,0.23766699947913494,0.201772952295207,1.0,0.27038693268204383,0.09065278218632448,0.1255386888168852,0.24145273774526013,0.06507441657813048
role,0.032978596642848336,0.14291591036459061,0.014039890569934826,0.044161073001178296,0.4146574259753413,0.20975606578593395,0.3204373619304746,0.17799485385800873,0.27038693268204383,1.0,0.09066670200042594,0.1882583267314839,0.09678135194945729,0.1696603293019662
roleMixin,0.23331523917160268,0.0393539453683358,0.018601319372230717,0.2593167415722762,0.15214833941231445,0.20132262380064259,0.007877447684472025,0.05198967898283681,0.09065278218632448,0.09066670200042594,1.0,0.19875727832139056,0.06096383489973242,0.3106218526792403
situation,0.2468329046401339,0.2876423962786243,0.14810057397955861,0.5138448080139364,0.20790090920992835,0.03755414067682968,0.06275708099264331,0.16239496503789644,0.1255386888168852,0.1882583267314839,0.19875727832139056,1.0,0.07419278594603383,0.08031192086847025
subkind,0.20360035704135238,0.20263784555213815,0.06348115804238175,0.04701469540829408,0.5384825117675932,0.1985945118743517,0.3367458472168998,0.2689986555254848,0.24145273774526013,0.09678135194945729,0.06096383489973242,0.07419278594603383,1.0,0.07645651737817469
type,0.2633759358468439,0.08362582448549921,0.04980747613243447,0.3145484998497077,0.2920875131580543,0.23830276600692485,0.04510631421652188,0.16362767644436302,0.06507441657813048,0.1696603293019662,0.3106218526792403,0.08031192086847025,0.07645651737817469,1.0
