stereotype,total_correlation,rank
category,2.6823495199483975,3
collective,2.2894443007957888,12
datatype,1.3142454587439358,14
enumeration,0.9193871451176248,15
event,2.555857667685546,6
kind,3.41295302050579,1
mode,2.5491621561256577,7
phase,2.3713747856221734,10
quality,2.3946994436890763,9
relator,2.61129625253696,5
role,2.6164508533331206,4
roleMixin,1.9073107558690054,13
situation,2.4337830860532734,8
subkind,2.8856936014310213,2
type,2.3554493353708827,11
