Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,situation,subkind,type
category,1.0,0.05,0.18257418583505539,0.09832696588260838,-0.06974858324629157,0.12490516445824953,0.31622776601683794,0.023124864503144014,0.2336712920477668,-0.044194173824159216,-0.008233869695926183,0.22607766610417562,0.1414213562373095,0.21596220991960682
collective,0.05,1.0,0.12171612389003691,0.11345419140300968,0.15112193036696506,0.020817527409708256,0.10540925533894599,0.4085392728888776,-0.02261335084333227,0.29168154723945083,0.12350804543889274,-0.29488391230979427,0.22980970388562794,0.09898267954648646
datatype,0.18257418583505539,0.12171612389003691,1.0,0.13809204416652687,0.04244763599780089,-0.01900371558963217,0.02749286996141075,0.04222003309207491,0.11009637651263605,-0.06454972243679027,0.015032920560056577,0.16151457061744967,0.12909944487358055,0.08214400968169071
event,0.09832696588260838,0.11345419140300968,0.13809204416652687,1.0,-0.18288444173915686,-0.12439001560199787,0.19134594929397597,0.15042046740114626,0.09122060212774506,0.05883110060307674,-0.03612112510080327,0.512989176042577,-0.05348281873006976,0.30899514796156546
kind,-0.06974858324629157,0.15112193036696506,0.04244763599780089,-0.18288444173915686,1.0,0.05565973333485638,0.07352146220938077,0.2957031984237381,0.1296849328880646,0.22604860754486628,0.48432696239710826,-0.21253326275922887,0.484977012550804,-0.32845835190708805
mixin,0.12490516445824953,0.020817527409708256,-0.01900371558963217,-0.12439001560199787,0.05565973333485638,1.0,0.09874620280149499,0.12757166266959735,0.11925769292162611,0.007360107399470766,0.2065476137399059,-0.11356694765303622,-0.06992102029497227,0.004683124192148524
mode,0.31622776601683794,0.10540925533894599,0.02749286996141075,0.19134594929397597,0.07352146220938077,0.09874620280149499,1.0,0.12187873735452177,0.2860387767736777,0.16770509831248423,0.18226447537315343,-0.03108349360801046,0.11180339887498948,0.2560996769510125
phase,0.023124864503144014,0.4085392728888776,0.04222003309207491,0.15042046740114626,0.2957031984237381,0.12757166266959735,0.12187873735452177,1.0,0.06275168090569394,0.16351748504193214,0.2570496134240294,-0.05682625430267495,0.3352108443359609,-0.02705135789519828
quality,0.2336712920477668,-0.02261335084333227,0.11009637651263605,0.09122060212774506,0.1296849328880646,0.11925769292162611,0.2860387767736777,0.06275168090569394,1.0,0.19721066262893963,0.203573620093938,0.17782168978975482,0.14124547458559192,0.16821389541801857
relator,-0.044194173824159216,0.29168154723945083,-0.06454972243679027,0.05883110060307674,0.22604860754486628,0.007360107399470766,0.16770509831248423,0.16351748504193214,0.19721066262893963,1.0,0.18631120311666624,-0.10425720702853737,0.146875,-0.09862413826124557
role,-0.008233869695926183,0.12350804543889274,0.015032920560056577,-0.03612112510080327,0.48432696239710826,0.2065476137399059,0.18226447537315343,0.2570496134240294,0.203573620093938,0.18631120311666624,1.0,-0.17239053536624757,0.06404447607135402,-0.14596096877387207
situation,0.22607766610417562,-0.29488391230979427,0.16151457061744967,0.512989176042577,-0.21253326275922887,-0.11356694765303622,-0.03108349360801046,-0.05682625430267495,0.17782168978975482,-0.10425720702853737,-0.17239053536624757,1.0,-0.10425720702853737,0.04510934513861526
subkind,0.1414213562373095,0.22980970388562794,0.12909944487358055,-0.05348281873006976,0.484977012550804,-0.06992102029497227,0.11180339887498948,0.3352108443359609,0.14124547458559192,0.146875,0.06404447607135402,-0.10425720702853737,1.0,-0.09862413826124557
type,0.21596220991960682,0.09898267954648646,0.08214400968169071,0.30899514796156546,-0.32845835190708805,0.004683124192148524,0.2560996769510125,-0.02705135789519828,0.16821389541801857,-0.09862413826124557,-0.14596096877387207,0.04510934513861526,-0.09862413826124557,1.0
