Stereotype,category,collective,datatype,enumeration,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.05012560177850943,0.16195923633495882,-0.11247860731159037,0.14642488683463598,0.1516308712328833,0.3255094632718181,-0.12308839724497152,0.32680483367547497,-0.12687575272941992,-0.08587776737984547,0.2510011821733547,0.26005987358249705,0.22056736510060732,0.33994568129783015
collective,0.05012560177850943,1.0,0.1320687799286839,0.019548257278346807,0.13946746959862974,0.26443861581829015,0.13141809266549054,0.3580427188185836,-0.042095042602455425,0.33083861262865527,0.20040481854470774,-0.016338436376522065,-0.28824250682483726,0.17249218097050065,0.14392316696157634
datatype,0.16195923633495882,0.1320687799286839,1.0,0.2374852771427471,0.1443017933594982,0.08442858084538243,0.03434136655002732,-0.0026329742141232657,0.0859251170092521,-0.055547463915650186,-0.08629906878028706,0.0041440207434092265,0.11636209250759633,0.08333797957353921,0.08541170783878031
enumeration,-0.11247860731159037,0.019548257278346807,0.2374852771427471,1.0,-0.036525526805544106,0.09397389989227417,-0.14648498484172945,0.06558117870318277,-0.021801608881866524,0.01137889001937755,-0.04933990708088446,0.00364726373905671,0.016940826076187097,-0.015977591920697806,0.08822332542413988
event,0.14642488683463598,0.13946746959862974,0.1443017933594982,-0.036525526805544106,1.0,-0.14984656394747475,0.2090933854003827,0.1767033194490027,0.15253175748886852,0.13969232814195148,-0.0185798088015629,0.3286103792274003,0.48368540838170093,0.06255308272105578,0.36784195752783766
kind,0.1516308712328833,0.26443861581829015,0.08442858084538243,0.09397389989227417,-0.14984656394747475,1.0,0.15428810321779116,0.2599793711658092,0.28479455232676965,0.3752898885099588,0.3254386740110481,-0.18943769852215758,-0.19842727404454133,0.6083017526887028,-0.27267717428270616
mode,0.3255094632718181,0.13141809266549054,0.03434136655002732,-0.14648498484172945,0.2090933854003827,0.15428810321779116,1.0,0.08465314368555993,0.3455411657346629,0.09226663492780544,0.24762606467248136,0.1809360784773042,-0.058555421810641356,0.2939892363514385,0.2444590145185256
phase,-0.12308839724497152,0.3580427188185836,-0.0026329742141232657,0.06558117870318277,0.1767033194490027,0.2599793711658092,0.08465314368555993,1.0,0.10553956073259137,0.34634545750140383,0.42293758172865936,0.019884870602575,-0.08561386888012275,0.32022319334981597,0.0001491495457718465
quality,0.32680483367547497,-0.042095042602455425,0.0859251170092521,-0.021801608881866524,0.15253175748886852,0.28479455232676965,0.3455411657346629,0.10553956073259137,1.0,0.20303462658168153,0.11676796028723757,0.03644247489463007,0.15626944583043278,0.4067049968261119,0.11044630081704174
relator,-0.12687575272941992,0.33083861262865527,-0.055547463915650186,0.01137889001937755,0.13969232814195148,0.3752898885099588,0.09226663492780544,0.34634545750140383,0.20303462658168153,1.0,0.370710951006236,0.09219885287862313,-0.1523927879079676,0.29161639118735116,0.023107614600878356
role,-0.08587776737984547,0.20040481854470774,-0.08629906878028706,-0.04933990708088446,-0.0185798088015629,0.3254386740110481,0.24762606467248136,0.42293758172865936,0.11676796028723757,0.370710951006236,1.0,0.10996693766593515,-0.22079768741058758,0.2263508484068464,-0.13535277755680103
roleMixin,0.2510011821733547,-0.016338436376522065,0.0041440207434092265,0.00364726373905671,0.3286103792274003,-0.18943769852215758,0.1809360784773042,0.019884870602575,0.03644247489463007,0.09219885287862313,0.10996693766593515,1.0,0.22553882238992817,-0.06012366246969673,0.3890400757084126
situation,0.26005987358249705,-0.28824250682483726,0.11636209250759633,0.016940826076187097,0.48368540838170093,-0.19842727404454133,-0.058555421810641356,-0.08561386888012275,0.15626944583043278,-0.1523927879079676,-0.22079768741058758,0.22553882238992817,1.0,-0.06974050049015443,0.10115656991607876
subkind,0.22056736510060732,0.17249218097050065,0.08333797957353921,-0.015977591920697806,0.06255308272105578,0.6083017526887028,0.2939892363514385,0.32022319334981597,0.4067049968261119,0.29161639118735116,0.2263508484068464,-0.06012366246969673,-0.06974050049015443,1.0,-0.05371481937450208
type,0.33994568129783015,0.14392316696157634,0.08541170783878031,0.08822332542413988,0.36784195752783766,-0.27267717428270616,0.2444590145185256,0.0001491495457718465,0.11044630081704174,0.023107614600878356,-0.13535277755680103,0.3890400757084126,0.10115656991607876,-0.05371481937450208,1.0
