Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('mixin', 'relator')",0.0,0.0
"('mixin', 'role')",0.0,0.0
"('mixin', 'roleMixin')",0.0,0.0
"('mixin', 'situation')",0.0,0.0
"('mixin', 'subkind')",0.0,0.0
"('mixin', 'type')",0.0,0.0
"('mode', 'phase')",0.0,0.0
"('mode', 'phaseMixin')",0.0,0.0
"('mode', 'quality')",0.0,0.0
"('mode', 'quantity')",0.0,0.0
"('mode', 'relator')",0.0,0.0
"('mode', 'role')",0.0,0.0
"('mode', 'roleMixin')",0.0,0.0
"('mode', 'situation')",0.0,0.0
"('mode', 'subkind')",0.0,0.0
"('mode', 'type')",0.0,0.0
"('phase', 'phaseMixin')",0.0,0.0
"('phase', 'quality')",0.0,0.0
"('phase', 'quantity')",0.0,0.0
"('phase', 'relator')",0.0,0.0
"('phase', 'role')",0.0,0.0
"('phase', 'roleMixin')",0.0,0.0
"('phase', 'situation')",0.0,0.0
"('phase', 'subkind')",0.0,0.0
"('phase', 'type')",0.0,0.0
"('phaseMixin', 'quality')",0.0,0.0
"('phaseMixin', 'quantity')",0.0,0.0
"('phaseMixin', 'relator')",0.0,0.0
"('phaseMixin', 'role')",0.0,0.0
"('phaseMixin', 'roleMixin')",0.0,0.0
"('phaseMixin', 'situation')",0.0,0.0
"('phaseMixin', 'subkind')",0.0,0.0
"('phaseMixin', 'type')",0.0,0.0
"('quality', 'quantity')",0.0,0.0
"('quality', 'relator')",1.0,1.0
"('quality', 'role')",1.0,1.0
"('quality', 'roleMixin')",0.0,0.0
"('quality', 'situation')",0.0,0.0
"('quality', 'subkind')",1.0,1.0
"('quality', 'type')",0.0,0.0
"('quantity', 'relator')",0.0,0.0
"('quantity', 'role')",0.0,0.0
"('quantity', 'roleMixin')",0.0,0.0
"('quantity', 'situation')",0.0,0.0
"('quantity', 'subkind')",0.0,0.0
"('quantity', 'type')",0.0,0.0
"('relator', 'role')",1.0,1.0
"('relator', 'roleMixin')",0.0,0.0
"('relator', 'situation')",0.0,0.0
"('relator', 'subkind')",1.0,1.0
"('relator', 'type')",0.0,0.0
"('role', 'roleMixin')",0.0,0.0
"('role', 'situation')",0.0,0.0
"('role', 'subkind')",1.0,1.0
"('role', 'type')",0.0,0.0
"('roleMixin', 'situation')",0.0,0.0
"('roleMixin', 'subkind')",0.0,0.0
"('roleMixin', 'type')",0.0,0.0
"('situation', 'subkind')",0.0,0.0
"('situation', 'type')",0.0,0.0
"('subkind', 'type')",0.0,0.0
