Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,74,1,74,12.780656303972366
relator,64,2,138,23.83419689119171
subkind,64,3,202,34.887737478411054
category,60,4,262,45.25043177892919
role,59,5,321,55.44041450777202
mode,42,6,363,62.69430051813472
quality,40,7,403,69.6027633851468
event,38,8,441,76.16580310880829
phase,33,9,474,81.86528497409327
collective,24,10,498,86.01036269430051
datatype,21,11,519,89.63730569948186
type,19,12,538,92.91882556131262
situation,15,13,553,95.50949913644214
mixin,13,14,566,97.75474956822107
quantity,7,15,573,98.96373056994818
enumeration,5,16,578,99.8272884283247
abstract,1,17,579,100.0
phaseMixin,0,18,579,100.0
historicalRoleMixin,0,19,579,100.0
historicalRole,0,20,579,100.0
roleMixin,0,21,579,100.0
