Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,1,0.5033738191632928,1,0.26865671641791045
20.0,3,0.8137651821862348,3,0.6343283582089553
30.0,5,0.9649122807017544,5,0.8955223880597015
40.0,7,0.9986504723346828,7,0.9925373134328358
50.0,9,1.0,9,1.0
60.0,11,1.0,11,1.0
70.0,13,1.0,13,1.0
80.0,15,1.0,15,1.0
90.0,17,1.0,17,1.0
100.0,19,1.0,19,1.0
