Group,Max Occurrences,Min Occurrences,Min Non-zero Occurrences,Range,Range Non-zero,Median Occurrences,Mode Occurrences,Standard Deviation,Variance,Q1,Q2,Q3,IQR,Skewness,Kurtosis
sortal,186,0,1,186,185,24.5,16,40.798878599580135,1664.5484949832778,15.5,24.5,45.5,30.0,2.1490476565700636,4.443333859852478
non_sortal,47,0,1,47,46,4.0,0,8.920844243469595,79.58146201624461,1.0,4.0,8.0,7.0,2.4555381053072414,6.9462084359917675
rigid,180,0,1,180,179,20.0,13,38.869258785671995,1510.8192785475394,12.75,20.0,38.5,25.75,2.4142331865734095,5.851742254416834
non_rigid,57,0,1,57,56,8.0,0,10.798683361905413,116.6115623506928,2.0,8.0,13.0,11.0,1.714176061874497,3.594311679844649
abstracts,29,0,1,29,28,0.0,0,3.9154190644261395,15.330506450071667,0.0,0.0,0.25,0.25,5.085821510030764,30.46823562979771
temporal,81,0,1,81,80,0.0,0,10.40808517357592,108.32823698041088,0.0,0.0,6.0,6.0,4.812309154761931,31.451780754730642
other,11,0,1,11,10,0.0,0,1.793176001401399,3.215480172001911,0.0,0.0,0.0,0.0,3.8364584762227474,15.907238863168798
none,60,0,1,60,59,0.0,0,7.15823476092387,51.24032489249881,0.0,0.0,0.0,0.0,6.664260101240813,50.4030263864671
rigid_sortal,174,0,2,174,172,17.0,10,37.63906211179442,1416.6989966555186,10.0,17.0,35.25,25.25,2.432604938492912,5.986630396428385
rigid_non_sortal,17,0,1,17,16,1.0,0,4.16184463769878,17.320950788342092,0.0,1.0,4.25,4.25,1.7263511534168743,2.430483387373521
non_rigid_sortal,36,0,1,36,35,4.0,0,8.17296155169969,66.79730052556138,0.0,4.0,9.5,9.5,1.5156978314909402,1.8300582879631038
non_rigid_non_sortal,44,0,1,44,43,1.0,0,7.472796659803938,55.8426899187769,0.0,1.0,3.0,3.0,3.8070659500607915,16.010761529496932
undef,60,0,1,60,59,0.0,0,7.274562162658663,52.919254658385086,0.0,0.0,1.0,1.0,6.156089124566929,45.07342620322251
