Construct Pair,Dice Coefficient,Mutual Information
bringsAbout - characterization,0.3188405797101449,0.3177613267756055
bringsAbout - comparative,0.3529411764705882,0.1122117044739748
bringsAbout - componentOf,0.2272727272727272,0.1561468305914383
bringsAbout - creation,0.2666666666666666,0.0763547521011409
bringsAbout - derivation,0.1904761904761904,0.0647052467280376
bringsAbout - externalDependence,0.3125,0.1350375335948889
bringsAbout - historicalDependence,0.4285714285714285,0.1618010864502527
bringsAbout - instantiation,0.3448275862068966,0.1352722778443381
bringsAbout - manifestation,0.4166666666666667,0.1301254625527079
bringsAbout - material,0.28,0.2252160939534066
bringsAbout - mediation,0.1621621621621621,0.2325273221766118
bringsAbout - memberOf,0.1212121212121212,0.0558637074645797
bringsAbout - participation,0.55,0.3334115660902134
bringsAbout - participational,0.125,0.0341000804457927
bringsAbout - subCollectionOf,0.0,0.0030743094202774
bringsAbout - subQuantityOf,0.0,0.0030743094202774
bringsAbout - termination,0.2666666666666666,0.0665025266589182
bringsAbout - triggers,0.7272727272727273,0.244867864033866
bringsAbout - other,0.0606060606060606,0.0523607156347682
bringsAbout - none,0.2365591397849462,0.3132647454008938
characterization - comparative,0.0967741935483871,0.1510035534578278
characterization - componentOf,0.6067415730337079,0.6997685083827055
characterization - creation,0.3466666666666667,0.3788422051710195
characterization - derivation,0.4597701149425287,0.3899002741907368
characterization - externalDependence,0.4675324675324675,0.5097716048363373
characterization - historicalDependence,0.3561643835616438,0.3820138887519577
characterization - instantiation,0.4054054054054054,0.4369277074388479
characterization - manifestation,0.3188405797101449,0.3217493717793829
characterization - material,0.6105263157894737,0.8133807472610778
characterization - mediation,0.7563025210084033,0.9905663573359196
characterization - memberOf,0.4102564102564102,0.3886823747121161
characterization - participation,0.5411764705882353,0.6742514000234614
characterization - participational,0.0983606557377049,0.102933303623626
characterization - subCollectionOf,0.0677966101694915,0.0626210780767589
characterization - subQuantityOf,0.0677966101694915,0.0833769748689811
characterization - termination,0.0333333333333333,0.0660563608423455
characterization - triggers,0.2985074626865671,0.2943019618597302
characterization - other,0.3333333333333333,0.2711802129203744
characterization - none,0.7246376811594203,1.4549469785969085
comparative - componentOf,0.2162162162162162,0.1924179021255445
comparative - creation,0.2608695652173913,0.0990551465216166
