Stereotype,x_value,y_value,quadrant
bringsAbout,0.3260869565217391,0.1304347826086956,Q3
characterization,4.3478260869565215,0.6195652173913043,Q1
comparative,0.2391304347826087,0.0543478260869565,Q3
componentOf,2.532608695652174,0.3478260869565217,Q1
creation,0.6521739130434783,0.1956521739130435,Q2
derivation,1.1521739130434785,0.3260869565217391,Q1
externalDependence,0.75,0.217391304347826,Q1
historicalDependence,0.4782608695652174,0.1739130434782608,Q3
instantiation,0.75,0.1847826086956521,Q4
manifestation,0.3695652173913043,0.1304347826086956,Q3
material,3.532608695652174,0.4130434782608695,Q1
mediation,6.967391304347826,0.6739130434782609,Q1
memberOf,0.7934782608695652,0.2282608695652173,Q1
participation,2.25,0.3043478260869565,Q1
participational,0.1847826086956521,0.0434782608695652,Q3
subCollectionOf,0.0869565217391304,0.0217391304347826,Q3
subQuantityOf,0.1195652173913043,0.0217391304347826,Q3
termination,0.0543478260869565,0.0326086956521739,Q3
triggers,0.1739130434782608,0.108695652173913,Q3
other,1.7717391304347827,0.2282608695652173,Q1
none,18.15217391304348,0.8804347826086957,Q1
