year,num_models,ratio
2005,1,0.03125
2007,1,0.03125
2011,1,0.03125
2012,2,0.0625
2013,2,0.0625
2014,2,0.0625
2015,3,0.09375
2016,3,0.09375
2017,7,0.21875
2018,10,0.3125
