Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,-0.012407559081808758,0.10908648196962444,0.2233188117166198,-0.0895173272996333,0.13218175922576259,0.36123184934554103,0.10269803088124693,0.28255547796898406,-0.04132437338137639,-0.020919553301994357,0.25927542847709867,0.20302222251682178,0.22056485546667964,0.23615829943167507
collective,-0.012407559081808758,1.0,0.11115835562544527,-0.17481948816266962,0.14691672177569906,0.04561260699376025,0.07231700921910296,0.26594442718097855,-0.15940986094638315,0.19973942747489828,0.16305483634978477,-0.08823163565837121,-0.2599604194528522,0.10885632736591265,0.016068315048598944
datatype,0.10908648196962444,0.11115835562544527,1.0,0.08852636478406983,0.11602918198223551,0.12968628616215677,0.07733903681122657,0.0983572480581722,0.14218432976603917,-0.08541780831333148,-0.050838298403197806,-0.10341544167631117,0.12106474912295029,0.04488913582410019,0.09361609799716741
event,0.2233188117166198,-0.17481948816266962,0.08852636478406983,1.0,-0.2797797497170103,0.017864832824044944,0.2990197101581736,0.005690801039094839,0.23366401986503002,-0.09973456062385545,-0.1696411023803291,0.28109418838531336,0.5394025321725001,0.02074415654107285,0.37881187683800355
kind,-0.0895173272996333,0.14691672177569906,0.11602918198223551,-0.2797797497170103,1.0,-0.02297034206521828,-0.017548460165109674,0.25955263496616804,-0.03587364732193231,0.180416540117329,0.4303577689765589,-0.1446571752198215,-0.2886523614693332,0.3531811477923128,-0.22999841362214712
mixin,0.13218175922576259,0.04561260699376025,0.12968628616215677,0.017864832824044944,-0.02297034206521828,1.0,0.1552735706643859,0.133151203446469,0.1284095375528539,-0.019849711139180454,0.1755425558840364,0.1449824069661635,0.01555866760031122,-0.04098031792414787,0.18388582077365484
mode,0.36123184934554103,0.07231700921910296,0.07733903681122657,0.2990197101581736,-0.017548460165109674,0.1552735706643859,1.0,0.07599843662783198,0.2175709702274343,0.05267552178149266,0.04109961558831383,0.25705474129755745,0.03693219971477771,0.12017170210061325,0.30442850326618365
phase,0.10269803088124693,0.26594442718097855,0.0983572480581722,0.005690801039094839,0.25955263496616804,0.133151203446469,0.07599843662783198,1.0,0.055222504477291795,0.1520006604057207,0.2563885688463864,-0.012863964289684697,-0.09631907802751578,0.2833048065010782,0.004322444881074615
quality,0.28255547796898406,-0.15940986094638315,0.14218432976603917,0.23366401986503002,-0.03587364732193231,0.1284095375528539,0.2175709702274343,0.055222504477291795,1.0,0.09093345245623408,0.04871680165580112,0.07743885528358718,0.27518115226227086,0.1050754545517279,0.2255679390491005
relator,-0.04132437338137639,0.19973942747489828,-0.08541780831333148,-0.09973456062385545,0.180416540117329,-0.019849711139180454,0.05267552178149266,0.1520006604057207,0.09093345245623408,1.0,0.25295788214675663,0.120837978658088,-0.12785771383675532,0.15625476089410884,-0.031058866161377048
role,-0.020919553301994357,0.16305483634978477,-0.050838298403197806,-0.1696411023803291,0.4303577689765589,0.1755425558840364,0.04109961558831383,0.2563885688463864,0.04871680165580112,0.25295788214675663,1.0,0.05429466343317953,-0.18564127337246167,0.10606060606060606,-0.10104176586380044
roleMixin,0.25927542847709867,-0.08823163565837121,-0.10341544167631117,0.28109418838531336,-0.1446571752198215,0.1449824069661635,0.25705474129755745,-0.012863964289684697,0.07743885528358718,0.120837978658088,0.05429466343317953,1.0,0.12792270670279943,0.028037408166314018,0.29191982711993986
situation,0.20302222251682178,-0.2599604194528522,0.12106474912295029,0.5394025321725001,-0.2886523614693332,0.01555866760031122,0.03693219971477771,-0.09631907802751578,0.27518115226227086,-0.12785771383675532,-0.18564127337246167,0.12792270670279943,1.0,-0.10984310638993407,0.13483199261558906
subkind,0.22056485546667964,0.10885632736591265,0.04488913582410019,0.02074415654107285,0.3531811477923128,-0.04098031792414787,0.12017170210061325,0.2833048065010782,0.1050754545517279,0.15625476089410884,0.10606060606060606,0.028037408166314018,-0.10984310638993407,1.0,0.029263462244707234
type,0.23615829943167507,0.016068315048598944,0.09361609799716741,0.37881187683800355,-0.22999841362214712,0.18388582077365484,0.30442850326618365,0.004322444881074615,0.2255679390491005,-0.031058866161377048,-0.10104176586380044,0.29191982711993986,0.13483199261558906,0.029263462244707234,1.0
