Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.00669990909131811,0.10866204135373043,0.2059487916913499,0.12338993434630247,0.37351793397609934,0.05101546482412341,0.26768169730416375,0.035398012026071964,0.03232475711296858,0.27786583599011294,0.25193517536134497,0.2855455282092373
collective,0.00669990909131811,1.0,0.07904318769912536,0.1621938532271502,0.20297724087107186,0.08348488781935749,0.24840727193927126,0.13001284032209068,0.25734600629172766,0.18439698717307645,0.06270396489847613,0.14798683953168035,0.06309083708133188
datatype,0.10866204135373043,0.07904318769912536,1.0,0.07115114062697324,0.1012258811869156,0.06131476487790429,0.09574391054449852,0.15319310638277653,0.06320247606573152,0.048893945051133134,0.08561615345470376,0.0598498811803094,0.08418831554403412
event,0.2059487916913499,0.1621938532271502,0.07115114062697324,1.0,0.2276464004587024,0.25892119502324495,0.020886568358304707,0.20603592188808614,0.12145715981948851,0.1443519795098999,0.2848159493242402,0.0047445292136040216,0.3270881820236063
kind,0.12338993434630247,0.20297724087107186,0.1012258811869156,0.2276464004587024,1.0,0.04924805169611345,0.25053355889901313,0.010217454392738131,0.2169841587250443,0.3783494506897878,0.1360301591366346,0.4508781828862933,0.14074098242014194
mode,0.37351793397609934,0.08348488781935749,0.06131476487790429,0.25892119502324495,0.04924805169611345,1.0,0.059308240812872066,0.22484154758528133,0.005393966315438838,0.03483679918587932,0.26615124937945056,0.11299997510426975,0.3144669127874574
phase,0.05101546482412341,0.24840727193927126,0.09574391054449852,0.020886568358304707,0.25053355889901313,0.059308240812872066,1.0,0.11257904992473158,0.19219581513786085,0.29064082068578095,0.016352779710994716,0.3241294217698944,0.0327380411112895
quality,0.26768169730416375,0.13001284032209068,0.15319310638277653,0.20603592188808614,0.010217454392738131,0.22484154758528133,0.11257904992473158,1.0,0.06898322650360902,0.02834018545552495,0.057255733884023274,0.17279076423281478,0.19161792894489696
relator,0.035398012026071964,0.25734600629172766,0.06320247606573152,0.12145715981948851,0.2169841587250443,0.005393966315438838,0.19219581513786085,0.06898322650360902,1.0,0.34444735335055626,0.1376420759120704,0.1784210698289016,0.07095809712116886
role,0.03232475711296858,0.18439698717307645,0.048893945051133134,0.1443519795098999,0.3783494506897878,0.03483679918587932,0.29064082068578095,0.02834018545552495,0.34444735335055626,1.0,0.06251476370669092,0.14891721751171924,0.030409692453356563
roleMixin,0.27786583599011294,0.06270396489847613,0.08561615345470376,0.2848159493242402,0.1360301591366346,0.26615124937945056,0.016352779710994716,0.057255733884023274,0.1376420759120704,0.06251476370669092,1.0,0.011179879171438204,0.29969227893710737
subkind,0.25193517536134497,0.14798683953168035,0.0598498811803094,0.0047445292136040216,0.4508781828862933,0.11299997510426975,0.3241294217698944,0.17279076423281478,0.1784210698289016,0.14891721751171924,0.011179879171438204,1.0,0.022158177963713204
type,0.2855455282092373,0.06309083708133188,0.08418831554403412,0.3270881820236063,0.14074098242014194,0.3144669127874574,0.0327380411112895,0.19161792894489696,0.07095809712116886,0.030409692453356563,0.29969227893710737,0.022158177963713204,1.0
