Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,-0.0008734158535436221,0.10874725654216588,0.23832404829160292,0.17357334909281116,0.3651003219097132,0.02290297378697164,0.3090681027949107,-0.013238077192183667,-0.048524520338911754,0.32571854895957514,0.29853111841048163,0.3455671545823052
collective,-0.0008734158535436221,1.0,0.10095549497834298,-0.17253338609357916,0.2708469588790268,0.07934401968236465,0.23215007455250464,-0.14860630821416343,0.2990157904284498,0.23639551326816508,-0.05979521880728781,0.16762258540652908,0.047332185810460496
datatype,0.10874725654216588,0.10095549497834298,1.0,0.058874971665227906,0.08523139061380791,0.07681373350827438,0.09306384617400196,0.13178034912961065,-0.04620001344227151,-0.03922133669871734,-0.08772310977701973,0.09622960016373076,0.08435619883061633
event,0.23832404829160292,-0.17253338609357916,0.058874971665227906,1.0,-0.23766789316472192,0.3082199624290937,0.03617212950595617,0.2517783740064222,-0.0911115267557632,-0.10797916893192355,0.34373655559238153,0.0643069427595685,0.4165373942741575
kind,0.17357334909281116,0.2708469588790268,0.08523139061380791,-0.23766789316472192,1.0,0.06343819192234341,0.2393348279397681,0.10538727630224254,0.2859549481654359,0.2986877095944475,-0.15726179364308016,0.5293710589426684,-0.1636419459710355
mode,0.3651003219097132,0.07934401968236465,0.07681373350827438,0.3082199624290937,0.06343819192234341,1.0,0.06299693539724235,0.22844017912734335,0.02718334616398428,0.11008993800824218,0.2605877368480842,0.16455422259461014,0.3413906562100251
phase,0.02290297378697164,0.23215007455250464,0.09306384617400196,0.03617212950595617,0.2393348279397681,0.06299693539724235,1.0,0.0717752947537128,0.25223007739834175,0.3676826013101418,0.004357219219193015,0.3099962684336935,0.03030548404579117
quality,0.3090681027949107,-0.14860630821416343,0.13178034912961065,0.2517783740064222,0.10538727630224254,0.22844017912734335,0.0717752947537128,1.0,0.05910897868624395,-0.04214075065465979,0.07282404717293417,0.3034774408132898,0.18376812397404704
relator,-0.013238077192183667,0.2990157904284498,-0.04620001344227151,-0.0911115267557632,0.2859549481654359,0.02718334616398428,0.25223007739834175,0.05910897868624395,1.0,0.520055518061839,0.1523457016493285,0.237718242548653,0.06041837678340734
role,-0.048524520338911754,0.23639551326816508,-0.03922133669871734,-0.10797916893192355,0.2986877095944475,0.11008993800824218,0.3676826013101418,-0.04214075065465979,0.520055518061839,1.0,0.06821868082332137,0.20181763725997376,-0.019798588391084285
roleMixin,0.32571854895957514,-0.05979521880728781,-0.08772310977701973,0.34373655559238153,-0.15726179364308016,0.2605877368480842,0.004357219219193015,0.07282404717293417,0.1523457016493285,0.06821868082332137,1.0,0.004766422775082505,0.40075600239635867
subkind,0.29853111841048163,0.16762258540652908,0.09622960016373076,0.0643069427595685,0.5293710589426684,0.16455422259461014,0.3099962684336935,0.3034774408132898,0.237718242548653,0.20181763725997376,0.004766422775082505,1.0,0.06833144099062549
type,0.3455671545823052,0.047332185810460496,0.08435619883061633,0.4165373942741575,-0.1636419459710355,0.3413906562100251,0.03030548404579117,0.18376812397404704,0.06041837678340734,-0.019798588391084285,0.40075600239635867,0.06833144099062549,1.0
