stereotype,total_correlation,rank
category,2.272108501020582,3
collective,1.819978375673799,10
datatype,1.1765304570447919,13
event,2.5582155115232528,2
kind,2.602913681025683,1
mode,2.0884102702960514,5
phase,1.7619502765294233,12
quality,1.9911736656787424,8
relator,1.8149216233001213,11
role,2.0585826285361217,6
roleMixin,1.964873673796119,9
subkind,2.0557350512236545,7
type,2.2110371329656373,4
