Stereotype,average_quantity,rank,proportion
abstract,0,13,0.0
category,3,5,0.04225352112676056
collective,1,10,0.014084507042253521
datatype,0,13,0.0
enumeration,0,13,0.0
event,2,8,0.028169014084507043
historicalRole,0,13,0.0
historicalRoleMixin,0,13,0.0
kind,11,3,0.15492957746478872
mixin,0,13,0.0
mode,3,5,0.04225352112676056
phase,2,8,0.028169014084507043
phaseMixin,0,13,0.0
quality,1,10,0.014084507042253521
quantity,0,13,0.0
relator,8,4,0.11267605633802817
role,23,1,0.323943661971831
roleMixin,3,5,0.04225352112676056
situation,0,13,0.0
subkind,13,2,0.18309859154929578
type,1,10,0.014084507042253521
