stereotype,geometric_mean_correlation,rank
category,2.4199122351738014,8
collective,1.8098416201624214,13
datatype,1.7051995362183574,14
event,2.302261616078473,10
kind,3.3397664914866074,1
mode,1.9167500282757404,12
phase,2.454159752553107,7
quality,2.464545239291228,6
relator,2.562945615652217,5
role,2.4011149738985127,9
roleMixin,2.237294950671205,11
situation,2.9590207445241554,3
subkind,2.7066092777820785,4
type,3.021397709935569,2
none,1.630587845426759,16
other,1.647903248872607,15
