Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,11.355311355311356
relator,56,2,118,21.611721611721613
subkind,52,3,170,31.135531135531135
category,51,4,221,40.476190476190474
role,49,5,270,49.45054945054945
mode,34,6,304,55.67765567765568
event,33,7,337,61.72161172161172
quality,33,8,370,67.76556776556777
roleMixin,30,9,400,73.26007326007326
phase,26,10,426,78.02197802197803
collective,18,11,444,81.31868131868131
datatype,17,12,461,84.43223443223444
type,16,13,477,87.36263736263736
situation,14,14,491,89.92673992673993
none,11,15,502,91.94139194139194
mixin,11,16,513,93.95604395604396
phaseMixin,8,17,521,95.42124542124543
other,8,18,529,96.88644688644689
quantity,5,19,534,97.8021978021978
enumeration,4,20,538,98.53479853479854
historicalRole,4,21,542,99.26739926739927
historicalRoleMixin,3,22,545,99.81684981684981
abstract,1,23,546,100.0
