stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,2.1829124886657096,11
collective,1.8198342643216088,15
datatype,1.6187921224345674,18
event,2.3114080527651852,8
kind,3.2826103911059823,1
mixin,1.7149406140561512,16
mode,2.1337083698234465,12
phase,2.3121762803527206,7
phaseMixin,2.101164283186889,13
quality,2.4611842386690017,5
relator,2.3386203371470917,6
role,2.278801427210527,10
roleMixin,2.2832658363786664,9
situation,2.8765940154412073,3
subkind,2.7347014031467713,4
type,3.1012655381207184,2
none,1.6781512833383005,17
other,1.8466564331555486,14
