stereotype1,stereotype2,geometric_mean_correlation
category,collective,0.03658054257362973
category,datatype,0.15586500684013443
category,event,0.08716082148216785
category,kind,0.05781806759421862
category,mode,0.24047572337109388
category,phase,0.1127496030810811
category,quality,0.2539175620205927
category,relator,0.0950848351500779
category,role,0.11136486019143717
category,roleMixin,0.19848436693379035
category,situation,0.25736414943522323
category,subkind,0.1037979183448657
category,type,0.27217668879685286
category,none,0.06219542917196609
category,other,0.07629673708515233
collective,datatype,0.06661914187337861
collective,event,0.045535132351879615
collective,kind,0.18206273889306523
collective,mode,0.03546958655389083
collective,phase,0.30348210735935227
collective,quality,0.08068256102782205
collective,relator,0.21464046893112668
collective,role,0.06040316795957806
collective,roleMixin,0.04316273963653837
collective,situation,0.2762007544485619
collective,subkind,0.19497319973949584
collective,type,0.01023270203265222
collective,none,0.07899263684284802
collective,other,0.0225505030743991
datatype,event,0.08671804446008556
datatype,kind,0.03501458873425179
datatype,mode,0.06261450128640868
datatype,phase,0.03649975455549569
datatype,quality,0.1275221998618034
datatype,relator,0.09235715762014102
datatype,role,0.10539548695428624
datatype,roleMixin,0.05420113116972793
datatype,situation,0.19890155324077338
datatype,subkind,0.018481639934323994
datatype,type,0.10656987242468625
datatype,none,0.12713160752926153
datatype,other,0.07361225524500259
event,kind,0.20334989751529284
event,mode,0.14172193528120186
event,phase,0.042806591682591516
event,quality,0.15568469698915963
event,relator,0.05290835987070153
event,role,0.12982979041195647
event,roleMixin,0.21772848832842406
event,situation,0.5280398976167476
event,subkind,0.037381417252914904
event,type,0.3401278266985656
event,none,0.040011061471625455
event,other,0.02379290724743775
kind,mode,0.031015521304203823
kind,phase,0.2876508687612388
kind,quality,0.15064796922232648
kind,relator,0.3296467331811364
kind,role,0.37565778677687645
kind,roleMixin,0.2010786724210026
kind,situation,0.21864454110969314
kind,subkind,0.5050135883179341
kind,type,0.3264945730925248
kind,none,0.06379750262373957
kind,other,0.11395297338801312
mode,phase,0.03579947017231941
mode,quality,0.24193550566844063
mode,relator,0.08232663216067072
mode,role,0.08908351006635833
mode,roleMixin,0.1189651996262732
mode,situation,0.05295456436519124
mode,subkind,0.09475488407428306
mode,type,0.2418288521474111
mode,none,0.06146262137806129
mode,other,0.17363422184476132
phase,quality,0.06253688785394905
phase,relator,0.1265062806668662
phase,role,0.27134470817751566
phase,roleMixin,0.07050135844311493
phase,situation,0.10338546638674537
phase,subkind,0.31612822768363424
phase,type,0.12744572234636029
phase,none,0.08938683309536927
phase,other,0.13172782879682476
quality,relator,0.20829147095496667
quality,role,0.07494438532748335
quality,roleMixin,0.017151082625929244
quality,situation,0.17593141180300415
quality,subkind,0.2625577518127862
quality,type,0.15178040284649916
quality,none,0.21105829938616968
quality,other,0.11021553071324146
relator,role,0.22451569601402865
relator,roleMixin,0.09706703797062702
relator,situation,0.19097896156253505
relator,subkind,0.32074309338815704
relator,type,0.048144504661611166
relator,none,0.1514133193670163
relator,other,0.08868363968950896
role,roleMixin,0.013008431744119914
role,situation,0.22373358231087392
role,subkind,0.0688438102878149
role,type,0.2240929296611231
role,none,0.03216433678627999
role,other,0.05540905252586138
roleMixin,situation,0.1846289496742996
roleMixin,subkind,0.14084736604615133
roleMixin,type,0.34312611820280625
roleMixin,none,0.1095094622319365
roleMixin,other,0.1331911192200666
situation,subkind,0.08204816177947181
situation,type,0.10715453473768113
situation,none,0.09638682055666595
situation,other,0.1389152113183669
subkind,type,0.10943341295735148
subkind,none,0.21169225298424213
subkind,other,0.08329736392743399
type,none,0.05168874270175841
type,other,0.19744402277118872
none,other,0.06735957302066624
