stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.682643145957394,5
collective,1.7999038452510816,12
datatype,1.7962191797340132,13
enumeration,1.6720626270414836,15
event,2.293151372613448,10
kind,3.397917781494236,1
mode,1.721852303180051,14
phase,2.604861983158454,7
quality,2.4679108297060464,9
relator,2.808788636809742,4
role,2.5299936400939522,8
roleMixin,2.1922496349517218,11
situation,3.0438093521450007,2
subkind,2.6788057278013735,6
type,2.9435867420548987,3
none,1.5843724865879603,16
other,1.4705416063802015,17
