Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,1.0,0.24829496688586156,0.36129678916304026,0.08963250153241838,0.14738570582349636,0.0006167971315128308,0.13091548265089695,0.29380440296830473,0.19550330799808835,0.2849451521653746,0.20834299465560382,-0.16805401337015177,-0.038620805549171376,0.4405971003862288,0.05494722736120121,-0.06203332436880595,-0.06203332436880595,0.3385933678934466,0.6768410404427507
characterization,0.24829496688586156,1.0,0.03195707216285695,0.2657189055612911,0.14597351702033662,-0.012055575224555325,0.2853921837145996,0.16885637225325942,0.25619902878772577,0.2819495678968206,0.25477854318943016,0.2354768298128021,0.17962476100808916,0.2819343415806165,0.07398909092059429,0.09041177223444444,0.1706201388324607,-0.03853758419523012,0.28805360755670995
comparative,0.36129678916304026,0.03195707216285695,1.0,0.3050455646896087,0.23784521561143004,0.15544559618150172,-0.13831022750556882,0.12448856431067783,-0.12443759595083925,0.03633516531879209,0.40597387643963195,0.2555113691281167,0.19734486193541456,0.1892541181857325,-0.0576512055220501,-0.0402638525844388,-0.0402638525844388,0.5196000980959213,0.07300600890535405
componentOf,0.08963250153241838,0.2657189055612911,0.3050455646896087,1.0,0.10232754130561081,0.0633286992031104,0.00899140109794734,0.12120069957567965,0.2145172067698253,0.14558063165350574,0.38405887308834263,0.3618060316908699,0.40012727985169666,0.07382984593092957,-0.06805139084749304,0.21607259116398667,0.2238686561877783,0.18704128600649325,-0.09227139181475587
creation,0.14738570582349636,0.14597351702033662,0.23784521561143004,0.10232754130561081,1.0,0.051615696394648254,0.18609353992216263,0.35922446548107323,0.3171399089216421,0.31087341395940404,0.03286907381929218,0.23107570547087233,0.2759641677459507,0.6969816177043399,0.3238641752071842,0.323543847591115,0.14253144459608588,0.3647549761954605,-0.0024112760221572417
derivation,0.0006167971315128308,-0.012055575224555325,0.15544559618150172,0.0633286992031104,0.051615696394648254,1.0,-0.16434229388614532,-0.1288193852037591,-0.20139320626315074,-0.22624200591786228,0.431974728814275,0.3900126156037205,0.23081411656766446,-0.04623139156074364,-0.16331040110356126,0.08990717963917888,0.06309570275558272,0.12927092545394026,0.09933665539334594
externalDependence,0.13091548265089695,0.2853921837145996,-0.13831022750556882,0.00899140109794734,0.18609353992216263,-0.16434229388614532,1.0,0.33711625920576377,0.4996520835628419,0.39425725437091436,-0.26766837696060664,0.026498664257048624,0.11822459545487757,0.23440267942052606,0.23925861699589437,0.11540430307804989,0.11055445653035724,0.017341872371856113,0.18690636170027428
historicalDependence,0.29380440296830473,0.16885637225325942,0.12448856431067783,0.12120069957567965,0.35922446548107323,-0.1288193852037591,0.33711625920576377,1.0,0.5190038972514984,0.45887049269848373,0.03657010661174792,0.0862070045291636,0.18917600518145272,0.5582695913634139,0.33828613740494107,0.36713689347615186,0.1582121861497905,0.053384304852968585,0.2509664484771295
instantiation,0.19550330799808835,0.25619902878772577,-0.12443759595083925,0.2145172067698253,0.3171399089216421,-0.20139320626315074,0.4996520835628419,0.5190038972514984,1.0,0.7152756872303421,-0.10295028478006706,0.07052066341801705,0.11398916332631365,0.4248526864815876,0.15443137068432272,0.12556404560935006,0.12067691042267899,0.03831363240699464,0.16212435692754146
manifestation,0.2849451521653746,0.2819495678968206,0.03633516531879209,0.14558063165350574,0.31087341395940404,-0.22624200591786228,0.39425725437091436,0.45887049269848373,0.7152756872303421,1.0,-0.1235913842971885,-0.0476504934580044,0.008370820888140602,0.4717655566275164,-0.08882012561341301,-0.06203236188811314,-0.06203236188811314,-0.07644717877824747,0.2456335489276918
