stereotype,geometric_mean_correlation,rank
category,2.0071396539142743,13
collective,2.0095533665710477,12
datatype,2.1149561856478614,11
kind,2.2124865874018536,10
phase,2.5371385824148636,8
relator,3.9203305354435454,2
role,3.1124323313381734,5
roleMixin,1.911169589307451,14
subkind,2.42504367200499,9
componentOf,2.7575843693813504,6
derivation,3.175845412581976,4
material,3.7885782576055584,3
mediation,3.9496937057119275,1
memberOf,2.5816918050323903,7
