Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,componentOf,derivation,material,mediation,memberOf
category,1.0,0.032342987984708395,0.17774837984085287,0.06850544126637778,0.2337908201032788,0.08196044219964063,0.18286711089518584,0.04285088052792757,0.06260991517432928,0.11954665121381891,0.18508065921938877,0.20722622186393538,0.10531248593826842,0.0126044137878553
collective,0.032342987984708395,1.0,0.14401106246578468,0.1570866011181293,0.028659334627216305,0.11828698936044252,0.043020527542213985,0.07602079267526116,0.08546786330391047,0.231306236607591,0.06166005697159138,0.07257603151446662,0.09487222211574295,0.5045423950970789
datatype,0.17774837984085287,0.14401106246578468,1.0,0.06788581662636371,0.327301721269647,0.03779209755940968,0.02753382053703043,0.14032127180626738,0.07976150176823533,0.027810501813258524,0.22840752076399162,0.23084977616002905,0.061285392782112064,0.1941104050876274
kind,0.06850544126637778,0.1570866011181293,0.06788581662636371,1.0,0.14226712026158295,0.025750510073195905,0.07777131801065701,0.10411827386757398,0.31538770097814445,0.3001266488031879,0.14159505248854232,0.10337502397937173,0.05395762866192745,0.1251369392542259
phase,0.2337908201032788,0.028659334627216305,0.327301721269647,0.14226712026158295,1.0,0.13051983764593786,0.11457823922385751,0.21034517378801537,0.325532068552188,0.22704063575553277,0.08493201735175744,0.019621969288234422,0.12682685894585422,0.23011145430702765
relator,0.08196044219964063,0.11828698936044252,0.03779209755940968,0.025750510073195905,0.13051983764593786,1.0,0.5276798244121594,0.2160273871008061,0.1779416064927734,0.21842361795217602,0.38266780411530454,0.4592072028227168,0.9610541819381709,0.14976839438788592
role,0.18286711089518584,0.043020527542213985,0.02753382053703043,0.07777131801065701,0.11457823922385751,0.5276798244121594,1.0,0.09851260723035592,0.08283354182155382,0.237277160854988,0.1926961365457852,0.27424363458140016,0.5442413950543595,0.13084072409516348
roleMixin,0.04285088052792757,0.07602079267526116,0.14032127180626738,0.10411827386757398,0.21034517378801537,0.2160273871008061,0.09851260723035592,1.0,0.08609115959663087,0.1568050502789359,0.08828812599319802,0.03862872477769651,0.21856068133152362,0.22441406235398406
subkind,0.06260991517432928,0.08546786330391047,0.07976150176823533,0.31538770097814445,0.325532068552188,0.1779416064927734,0.08283354182155382,0.08609115959663087,1.0,0.32811395837637836,0.011323276533828716,0.1313200567261251,0.18591292305735582,0.16567913782727092
componentOf,0.11954665121381891,0.231306236607591,0.027810501813258524,0.3001266488031879,0.22704063575553277,0.21842361795217602,0.237277160854988,0.1568050502789359,0.32811395837637836,1.0,0.1846095765957674,0.1730401402991455,0.18546867187549387,0.16884143801074042
derivation,0.18508065921938877,0.06166005697159138,0.22840752076399162,0.14159505248854232,0.08493201735175744,0.38266780411530454,0.1926961365457852,0.08828812599319802,0.011323276533828716,0.1846095765957674,1.0,0.7276950979430787,0.39276358009183515,0.09223883340766974
material,0.20722622186393538,0.07257603151446662,0.23084977616002905,0.10337502397937173,0.019621969288234422,0.4592072028227168,0.27424363458140016,0.03862872477769651,0.1313200567261251,0.1730401402991455,0.7276950979430787,1.0,0.4777676663543087,0.11595872658082317
mediation,0.10531248593826842,0.09487222211574295,0.061285392782112064,0.05395762866192745,0.12682685894585422,0.9610541819381709,0.5442413950543595,0.21856068133152362,0.18591292305735582,0.18546867187549387,0.39276358009183515,0.4777676663543087,1.0,0.02496675846567488
memberOf,0.0126044137878553,0.5045423950970789,0.1941104050876274,0.1251369392542259,0.23011145430702765,0.14976839438788592,0.13084072409516348,0.22441406235398406,0.16567913782727092,0.16884143801074042,0.09223883340766974,0.11595872658082317,0.02496675846567488,1.0
