Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,componentOf,derivation,material,mediation,memberOf
category,1.0,0.006110779441587805,0.2009281283691745,-0.021506007037396805,0.2514664940786839,0.09612150033430192,-0.1367146698344887,0.10428318431700262,0.2082033791546707,-0.10434455017064241,0.1977949865746237,0.31287330600828733,0.15869808432762894,0.02996776670143956
collective,0.006110779441587805,1.0,-0.20320169462519683,0.1887366399005824,-0.009945719788506294,0.13709119845728746,-0.027200590913546766,-0.08427805406645826,0.09962358491228801,0.23708562262203092,0.062008133892265435,0.2365003011749002,0.08818886681878793,0.425168748725126
datatype,0.2009281283691745,-0.20320169462519683,1.0,0.05755994794816492,0.3258904249528082,0.03427782331055854,-0.003032445093461595,-0.11722523482059856,0.2125292658690822,0.015390943492126805,0.2315766321701791,0.2791004327725736,0.09014158484298608,-0.21287171849085576
kind,-0.021506007037396805,0.1887366399005824,0.05755994794816492,1.0,0.14702149759272215,-0.012422964106053997,-0.11331632373299602,-0.1099230775374984,0.3347050137884697,0.6218942040432166,-0.11909557190096835,-0.043689307149516216,0.054545542834940765,0.08407442441753414
phase,0.2514664940786839,-0.009945719788506294,0.3258904249528082,0.14702149759272215,1.0,0.14436590682589598,0.11125406324241914,-0.2332244197991988,0.47946308559645295,0.21578204591561922,0.06625966725191132,0.03488857323100787,0.1363119927119154,0.29160494406603454
relator,0.09612150033430192,0.13709119845728746,0.03427782331055854,-0.012422964106053997,0.14436590682589598,1.0,0.6265034934562066,0.2273220357532055,0.14423999062757933,-0.23734866566694024,0.417861401287859,0.41414292364169286,0.9236251406208469,0.10235442642265537
role,-0.1367146698344887,-0.027200590913546766,-0.003032445093461595,-0.11331632373299602,0.11125406324241914,0.6265034934562066,1.0,0.0472723875650915,0.03125670069539591,-0.2800912075576144,0.20228376677909704,0.2297690350596551,0.6664470662041098,0.07811818763116748
roleMixin,0.10428318431700262,-0.08427805406645826,-0.11722523482059856,-0.1099230775374984,-0.2332244197991988,0.2273220357532055,0.0472723875650915,1.0,-0.10529197294866698,-0.22997436586006748,-0.039167697120224804,0.007184173467682062,0.2326847831878649,-0.26546608948527156
subkind,0.2082033791546707,0.09962358491228801,0.2125292658690822,0.3347050137884697,0.47946308559645295,0.14423999062757933,0.03125670069539591,-0.10529197294866698,1.0,0.436400515199773,0.0038890192392848195,0.10153844777124509,0.1574525975100259,0.1928982439931534
componentOf,-0.10434455017064241,0.23708562262203092,0.015390943492126805,0.6218942040432166,0.21578204591561922,-0.23734866566694024,-0.2800912075576144,-0.22997436586006748,0.436400515199773,1.0,-0.13823449095691331,-0.17065969879015308,-0.17113101479862117,0.2077305144000323
derivation,0.1977949865746237,0.062008133892265435,0.2315766321701791,-0.11909557190096835,0.06625966725191132,0.417861401287859,0.20228376677909704,-0.039167697120224804,0.0038890192392848195,-0.13823449095691331,1.0,0.7694040082260412,0.4402008004006155,-0.043642709415985095
material,0.31287330600828733,0.2365003011749002,0.2791004327725736,-0.043689307149516216,0.03488857323100787,0.41414292364169286,0.2297690350596551,0.007184173467682062,0.10153844777124509,-0.17065969879015308,0.7694040082260412,1.0,0.44829755663044746,-0.06412853223852544
mediation,0.15869808432762894,0.08818886681878793,0.09014158484298608,0.054545542834940765,0.1363119927119154,0.9236251406208469,0.6664470662041098,0.2326847831878649,0.1574525975100259,-0.17113101479862117,0.4402008004006155,0.44829755663044746,1.0,-0.002844399546637169
memberOf,0.02996776670143956,0.425168748725126,-0.21287171849085576,0.08407442441753414,0.29160494406603454,0.10235442642265537,0.07811818763116748,-0.26546608948527156,0.1928982439931534,0.2077305144000323,-0.043642709415985095,-0.06412853223852544,-0.002844399546637169,1.0
