stereotype,total_correlation,rank
category,2.2026141699228368,16
collective,2.2371145051087824,15
datatype,2.254867377429186,13
kind,2.564905008974729,10
mode,4.446533386567794,2
phase,2.630082881283935,9
relator,4.369073525350268,3
role,3.794065333448958,5
roleMixin,2.0254945442167096,17
subkind,2.3453064813784685,12
characterization,3.7287288430926155,6
componentOf,2.480138063599242,11
derivation,3.6925841507537553,7
material,4.611989761538781,1
mediation,4.369073525350268,3
memberOf,3.3311160774834736,8
subCollectionOf,2.2483723590121096,14
