stereotype,total_correlation,rank
category,4.229939533320678,6
datatype,1.790586143147051,21
event,4.190724470312409,7
kind,4.552077311952864,4
mode,3.2051833568040493,18
phase,2.893076544626489,19
quality,3.433918317453953,16
relator,4.040306997450338,9
role,3.8056572035987077,12
roleMixin,3.5816790908937035,14
situation,3.840522940299838,11
subkind,3.4733014472102512,15
type,5.356601461267339,1
characterization,4.494461493128493,5
componentOf,3.5893954320216457,13
derivation,2.4986364401982684,20
externalDependence,4.1640237280855885,8
instantiation,5.14266136695878,2
material,3.2137563859748326,17
mediation,4.001746654462108,10
participation,4.672226023539738,3
