Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation
category,1.0,0.1737170693494679,0.12608051273365567,0.02490788528479557,0.25720429890439744,-0.2747100405717694,0.26931679849869083,-0.15546116824955628,-0.24500730469546123,0.21032761796553048,0.2836981914167497,0.0841738179268186,0.37742540648595435,0.39602119474847935,0.28055929961273013,-0.17101488478164015,0.1678505711505371,0.304481125333591,0.08958251005035416,-0.1672452662735611,0.17115456928693829
datatype,0.1737170693494679,1.0,0.09711668628005711,0.05517578249693359,-0.08045221420243387,-0.04406859887199481,0.11912571773643553,-0.08473526068122547,-0.2315838070068567,-0.042815086812384426,0.16784692796365555,-0.0041667882934784215,0.10699202366574824,-0.10381061073201929,0.1560245227619136,-0.03884593918705499,-0.05551092635084325,0.08409232014049312,0.04895164460943644,-0.0030618058516520253,0.09249241015296603
event,0.12608051273365567,0.09711668628005711,1.0,-0.2612253718620451,0.15579100140815727,0.03517921623050998,0.1625816436827522,0.0024653970711128134,-0.19873838449719824,0.3001749324269061,0.5423423372666527,-0.08578311740917446,0.3858218328712852,0.23473443276949402,-0.01927379030360721,0.028317327754391414,0.3147408486028947,0.3947637912939685,-0.04131344555378951,-0.06367151868642808,0.7406088816083285
kind,0.02490788528479557,0.05517578249693359,-0.2612253718620451,1.0,0.00038232507911349883,0.26186830768758496,0.15462713016169755,0.38737710282877197,0.26953218734218987,-0.259940591006207,-0.22036064970269129,0.5316050448921623,-0.2852924020037926,-0.08772602075121233,0.3998343567437147,0.07916462345786775,-0.26241740509392225,-0.21850334671193908,0.25888027765294674,0.22266581303684954,-0.31059068815642665
mode,0.25720429890439744,-0.08045221420243387,0.15579100140815727,0.00038232507911349883,1.0,-0.021371655527674435,0.25109844021213334,0.047881914906138454,0.11826515166278431,0.09626697711492459,-0.09134092924108823,0.12028303516527052,0.23864410423925403,0.6084644641303384,0.20673651095999732,-0.009035268900764887,0.3922479202642414,0.2047543118509953,0.11660070523646889,0.1438296867594902,0.04453244103838253
phase,-0.2747100405717694,-0.04406859887199481,0.03517921623050998,0.26186830768758496,-0.021371655527674435,1.0,0.0816684206738898,0.27476746026520144,0.3071508060572778,-0.10561489387804913,-0.10877164212289166,0.31109608418627405,-0.10799224056585448,-0.034139237770808746,0.15214770635893315,0.00014308080559043048,-0.15180233714201785,-0.05616698421347712,0.13426056425102093,0.2906223265870806,-0.13953494085858864
quality,0.26931679849869083,0.11912571773643553,0.1625816436827522,0.15462713016169755,0.25109844021213334,0.0816684206738898,1.0,0.15550763103345835,0.0345069347575343,0.051339307206845146,0.1780785550800302,0.32872502540445914,0.1363913720202951,0.6033904929749471,0.13780789444973032,-0.15307484796042609,0.05595723762646586,0.16084800345105285,0.10990728518635824,0.10357922093950553,0.18638635839724563
relator,-0.15546116824955628,-0.08473526068122547,0.0024653970711128134,0.38737710282877197,0.047881914906138454,0.27476746026520144,0.15550763103345835,1.0,0.39017051135512554,0.14398136118560242,-0.23015965486963982,0.3452661497121996,-0.008020382606713493,0.11826302439630088,0.3588414901400936,0.17979214287810005,0.04501825909214872,0.01972249286236041,0.19756315016959014,0.8023518968482378,-0.09296054629875934
role,-0.24500730469546123,-0.2315838070068567,-0.19873838449719824,0.26953218734218987,0.11826515166278431,0.3071508060572778,0.0345069347575343,0.39017051135512554,1.0,-0.015836285417061488,-0.2480462208764662,0.11174425014957845,-0.2247466387719817,0.02273187414699907,0.10509287727353181,0.18063436009673103,0.09283681620189323,-0.208490803012731,0.02260311255086426,0.4187374620065975,-0.3592014157198441
roleMixin,0.21032761796553048,-0.042815086812384426,0.3001749324269061,-0.259940591006207,0.09626697711492459,-0.10561489387804913,0.051339307206845146,0.14398136118560242,-0.015836285417061488,1.0,0.22510794346302188,-0.14218440306742372,0.4105946605396519,0.22461407312839884,0.0712222562105686,0.014346931614992882,0.42002681434707545,0.43483388867199524,-0.026912453843758306,0.13084350912851397,0.254695103864792
situation,0.2836981914167497,0.16784692796365555,0.5423423372666527,-0.22036064970269129,-0.09134092924108823,-0.10877164212289166,0.1780785550800302,-0.23015965486963982,-0.2480462208764662,0.22510794346302188,1.0,-0.07360246410084875,0.14235968064710708,0.18089314464061867,-0.01176211573075463,0.09102884473500841,0.03887853397662876,0.1604588581384339,0.1288361791397256,-0.21085476950338933,0.506095297684436
subkind,0.0841738179268186,-0.0041667882934784215,-0.08578311740917446,0.5316050448921623,0.12028303516527052,0.31109608418627405,0.32872502540445914,0.3452661497121996,0.11174425014957845,-0.14218440306742372,-0.07360246410084875,1.0,-0.09909529725902094,0.12956964104076654,0.30094450614050433,-0.06536418948125258,-0.0600817064020532,-0.0613804276832769,0.20172204239265443,0.27180816435635485,-0.14470529214667815
type,0.37742540648595435,0.10699202366574824,0.3858218328712852,-0.2852924020037926,0.23864410423925403,-0.10799224056585448,0.1363913720202951,-0.008020382606713493,-0.2247466387719817,0.4105946605396519,0.14235968064710708,-0.09909529725902094,1.0,0.2735501963671879,0.19993793258041706,-0.2422971373411699,0.5034102082731484,0.9422208986206377,-0.21738112530236675,0.006673346709168083,0.44775457439658367
characterization,0.39602119474847935,-0.10381061073201929,0.23473443276949402,-0.08772602075121233,0.6084644641303384,-0.034139237770808746,0.6033904929749471,0.11826302439630088,0.02273187414699907,0.22461407312839884,0.18089314464061867,0.12956964104076654,0.2735501963671879,1.0,0.22199256719366384,-0.09686269552519597,0.37124155498859146,0.2755008925975905,0.17919909111031648,0.1239855428507437,0.20777074126481945
componentOf,0.28055929961273013,0.1560245227619136,-0.01927379030360721,0.3998343567437147,0.20673651095999732,0.15214770635893315,0.13780789444973032,0.3588414901400936,0.10509287727353181,0.0712222562105686,-0.01176211573075463,0.30094450614050433,0.19993793258041706,0.22199256719366384,1.0,-0.1267345479212745,0.05896746732836542,0.24609155523362028,0.2620561607737652,0.27011864598375107,-0.0032492283207093305
derivation,-0.17101488478164015,-0.03884593918705499,0.028317327754391414,0.07916462345786775,-0.009035268900764887,0.00014308080559043048,-0.15307484796042609,0.17979214287810005,0.18063436009673103,0.014346931614992882,0.09102884473500841,-0.06536418948125258,-0.2422971373411699,-0.09686269552519597,-0.1267345479212745,1.0,-0.11621463394735826,-0.20727246449410064,0.34072480059758786,0.25895876851234023,-0.09880895020542033
externalDependence,0.1678505711505371,-0.05551092635084325,0.3147408486028947,-0.26241740509392225,0.3922479202642414,-0.15180233714201785,0.05595723762646586,0.04501825909214872,0.09283681620189323,0.42002681434707545,0.03887853397662876,-0.0600817064020532,0.5034102082731484,0.37124155498859146,0.05896746732836542,-0.11621463394735826,1.0,0.48266237955587077,-0.2932464329534438,0.04945651264496671,0.23145516214312123
instantiation,0.304481125333591,0.08409232014049312,0.3947637912939685,-0.21850334671193908,0.2047543118509953,-0.05616698421347712,0.16084800345105285,0.01972249286236041,-0.208490803012731,0.43483388867199524,0.1604588581384339,-0.0613804276832769,0.9422208986206377,0.2755008925975905,0.24609155523362028,-0.20727246449410064,0.48266237955587077,1.0,-0.16280157973852455,0.03275728920842048,0.4848579541457002
material,0.08958251005035416,0.04895164460943644,-0.04131344555378951,0.25888027765294674,0.11660070523646889,0.13426056425102093,0.10990728518635824,0.19756315016959014,0.02260311255086426,-0.026912453843758306,0.1288361791397256,0.20172204239265443,-0.21738112530236675,0.17919909111031648,0.2620561607737652,0.34072480059758786,-0.2932464329534438,-0.16280157973852455,1.0,0.3281837327934593,-0.05303009206840041
mediation,-0.1672452662735611,-0.0030618058516520253,-0.06367151868642808,0.22266581303684954,0.1438296867594902,0.2906223265870806,0.10357922093950553,0.8023518968482378,0.4187374620065975,0.13084350912851397,-0.21085476950338933,0.27180816435635485,0.006673346709168083,0.1239855428507437,0.27011864598375107,0.25895876851234023,0.04945651264496671,0.03275728920842048,0.3281837327934593,1.0,-0.10234137578159874
participation,0.17115456928693829,0.09249241015296603,0.7406088816083285,-0.31059068815642665,0.04453244103838253,-0.13953494085858864,0.18638635839724563,-0.09296054629875934,-0.3592014157198441,0.254695103864792,0.506095297684436,-0.14470529214667815,0.44775457439658367,0.20777074126481945,-0.0032492283207093305,-0.09880895020542033,0.23145516214312123,0.4848579541457002,-0.05303009206840041,-0.10234137578159874,1.0
