stereotype,total_correlation,rank
category,2.3313695956158753,6
collective,2.1267531340214987,11
datatype,1.4686838910962243,15
event,2.520290840297785,3
kind,2.599814511562708,2
mixin,1.611950143378139,14
mode,2.889000948578661,1
phase,2.1046258684762194,12
quality,2.135527766466297,10
relator,1.8888000222204502,13
role,2.1359703771557697,9
roleMixin,2.356006102167334,5
situation,2.4753011276539967,4
subkind,2.3059637730967992,7
type,2.2974254853449008,8
none,1.3525263408582395,17
other,1.447379852528691,16
