Stereotype,average_quantity,rank,proportion
abstract,0,14,0.0
category,4,5,0.047058823529411764
collective,1,13,0.011764705882352941
datatype,0,14,0.0
enumeration,0,14,0.0
event,4,5,0.047058823529411764
historicalRole,0,14,0.0
historicalRoleMixin,0,14,0.0
kind,12,3,0.1411764705882353
mixin,0,14,0.0
mode,4,5,0.047058823529411764
phase,2,9,0.023529411764705882
phaseMixin,0,14,0.0
quality,2,9,0.023529411764705882
quantity,0,14,0.0
relator,9,4,0.10588235294117647
role,14,2,0.16470588235294117
roleMixin,4,5,0.047058823529411764
situation,0,14,0.0
subkind,25,1,0.29411764705882354
type,2,9,0.023529411764705882
none,2,9,0.023529411764705882
other,0,14,0.0
