Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2103,1,2103,18.615561653536336
role,1892,2,3995,35.36337080640878
kind,1630,3,5625,49.791980171727005
relator,1279,4,6904,61.113569974329465
roleMixin,622,5,7526,66.61945649287422
category,611,6,8137,72.02797202797203
event,591,7,8728,77.25944941134814
mode,575,8,9303,82.34929627334691
none,373,9,9676,85.65105780295653
phase,357,10,10033,88.81118881118881
type,268,11,10301,91.18350004425953
quality,266,12,10567,93.5381074621581
collective,134,13,10701,94.72426307869345
other,104,14,10805,95.64486146764628
situation,103,15,10908,96.55660794901301
datatype,90,16,10998,97.35327963176064
mixin,87,17,11085,98.12339559175001
enumeration,75,18,11160,98.78728866070638
historicalRole,51,19,11211,99.23873594759671
quantity,46,20,11257,99.64592369655661
phaseMixin,20,21,11277,99.8229618482783
historicalRoleMixin,18,22,11295,99.98229618482783
abstract,2,23,11297,100.0
